id,poj_input,poj_unicode,tailo_input,tailo_unicode,taigi_hanji,page_number
704,Thoo5-tau7-ku7,Thô͘-tāu-kū,Thoo5-tau7-ku7,Thôo-tāu-kū,土豆舅,224
705,Thoo5-tau7,Thô͘-tāu,Thoo5-tau7,Thôo-tāu,土豆,224
706,Kau-tin5,Kau-tîn,Kau-tin5,Kau-tîn,鉤藤,225
707,Kiok-hoe-bok8,Kiok-hoe-bo̍k,Kiok-hue-bok8,Kiok-hue-bo̍k,菊花木,225
708,Tah-bah-chhi3,Tah-bah-chhì,Tah-bah-tshi3,Tah-bah-tshì,搭肉刺,225
709,Eng-hioh8-chhi3,Eng-hio̍h-chhì,Ing-hioh8-tshi3,Ing-hio̍h-tshì,鷹葉刺,225
710,Tah-bah-chhi3,Tah-bah-chhì,Tah-bah-tshi3,Tah-bah-tshì,搭肉刺,225
711,Ng5-oo5-iap8,N̂g-ô͘-ia̍p,Ng5-oo5-iap8,N̂g-ôo-ia̍p,黃蝴蝶,225
712,Chang-bok8,Chang-bo̍k,Tsang-bok8,Tsang-bo̍k,稯木,225
713,Soo-bok8,So͘-bo̍k,Soo-bok8,Soo-bo̍k,蘇木,225
714,Hoe-le5-chhiu7-tau7,Hoe-lê-chhiū-tāu,Hue-le5-tshiu7-tau7,Hue-lê-tshiū-tāu,花螺樹豆,226
715,Chhiu7-tau7,Chhiū-tāu,Tshiu7-tau7,Tshiū-tāu,樹豆,226
716,Chhai3-to-tau7,Chhài-to-tāu,Tshai3-to-tau7,Tshài-to-tāu,菜刀豆,226
717,Koan-to-tau7,Koan-to-tāu,Kuan-to-tau7,Kuan-to-tāu,關刀豆,226
718,To-pan2-jin5-tau7,To-pán-jîn-tāu,To-pan2-jin5-tau7,To-pán-jîn-tāu,刀板仁豆,226
719,Pui5-ti-a2-tau7,Pûi-ti-á-tāu,Pui5-ti-a2-tau7,Puî-ti-á-tāu,肥猪仔豆,226
720,Toa7-ho7-soann-thoo5-tau7,Tōa-hō-soaⁿ-thô͘-tāu,Tua7-ho7-suann-thoo5-tau7,Tuā-hō-suann-thôo-tāu,大號山土豆,227
721,Iunn5-kak-tau7,Iûⁿ-kak-tāu,Iunn5-kak-tau7,Iûnn-kak-tāu,羊角豆,227
722,Sio2-iunn5-kak-tau7,Sió-iûⁿ-kak-tāu,Sio2-iunn5-kak-tau7,Sió-iûnn-kak-tāu,小羊角豆,227
723,Iunn5-tau7,Iûⁿ-tāu,Iunn5-tau7,Iûnn-tāu,羊豆,227
724,Peh8-be2-sai2,Pe̍h-bé-sái,Peh8-be2-sai2,Pe̍h-bé-sái,白馬屎,228
725,Gong7-gong7-chhau2,Gōng-gōng-chháu,Gong7-gong7-tshau2,Gōng-gōng-tsháu,戇戇草,228
726,Moa2-tiann2-koo5-chhau2,Móa-tiáⁿ-kô͘-chháu,Mua2-tiann2-koo5-tshau2,Muá-tiánn-kôo-tsháu,滿鼎糊草,229
727,Toa7-pun2-soann-thoo5-tau7,Tōa-pún-soaⁿ-thô͘-tāu,Tua7-pun2-suann-thoo5-tau7,Tuā-pún-suann-thôo-tāu,大本山土豆,229
728,Bo7-a2-chhau2,Bō-á-chháu,Bo7-a2-tshau2,Bō-á-tsháu,磨仔草,230
729,Tai7-hi5-lan5,Tāi-hî-lân,Tai7-hi5-lan5,Tāi-hî-lân,𩻸魚鱗,230
730,Be2-te5-kim,Bé-tê-kim,Be2-te5-kim,Bé-tê-kim,馬蹄金,230
731,Sin5-sit8-chhau2,Sîn-si̍t-chháu,Sin5-sit8-tshau2,Sîn-si̍t-tsháu,蠅翼草,231
732,Chu-a2-chhau2,Chu-á-chháu,Tsu-a2-tshau2,Tsu-á-tsháu,珠仔草,231
733,Pian2-thiok,Pián-thiok,Pian2-thiok,Pián-thiok,萹蓄,231
734,Hoo5-sin5-sit8,Hô͘-sîn-si̍t,Hoo5-sin5-sit8,Hôo-sîn-si̍t,蝴蠅翼,231
735,Sann-hi7-chhau2,Saⁿ-hī-chháu,Sann-hi7-tshau2,Sann-hī-tsháu,三耳草,231
736,Sann-hinn7-a2-chhau2,Saⁿ-hīⁿ-á-chháu,Sann-hinn7-a2-tshau2,Sann-hīnn-á-tsháu,三硯仔草,231
737,Su3-kui3-chhun,Sù-kùi-chhun,Su3-kui3-tshun,Sù-kuì-tshun,四季春,231
738,Leng5-chih8-hong5,Lêng-chi̍h-hông,Ling5-tsih8-hong5,Lîng-tsi̍h-hông,龍舌黃,231
739,Peh8-koo-soo-hoe,Pe̍h-ko͘-so͘-hoe,Peh8-koo-soo-hue,Pe̍h-koo-soo-hue,白古蘇花,231
740,Ngoo5-bi5-tau7,Ngô͘-bî-tāu,Ngoo5-bi5-tau7,Ngôo-bî-tāu,蛾眉豆,231
741,Chiau2-a2-tau7,Chiáu-á-tāu,Tsiau2-a2-tau7,Tsiáu-á-tāu,鳥仔豆,231
742,Peh8-bah-tau7,Pe̍h-bah-tāu,Peh8-bah-tau7,Pe̍h-bah-tāu,白肉豆,231
743,Bah-tau7,Bah-tāu,Bah-tau7,Bah-tāu,肉豆,231
