id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
22068,lun7-pok,lūn-pok,lun7-pok,lūn-pok,駁斥,"V ",,,"argue against, refute",
22069,lun7-soat,lūn-soat,lun7-suat,lūn-suat,論述,"N ",,,"discourse, dissertation, editorial",
22070,lun7-tek8,lūn-te̍k,lun7-tik8,lūn-ti̍k,潤澤,"N ",,,moisture,
22071,lun7-tiam2,lūn-tiám,lun7-tiam2,lūn-tiám,論點,"N ",,,"point under discussion, point of an argument",
22072,lut,lut,lut,lut,掉,"V ",,,"slip out of place, be loosened",
22073,lut,lut,lut,lut,掉,"V ",,,"lose (a position, hair, etc)",
22074,lut,lut,lut,lut,拔,"V ",,,pluck (feathers),
22075,lut,lut,lut,lut,詐騙,"V ",,,swindle,
22076,lut-chit,lut-chit,lut-tsit,lut-tsit,罷黜職務,"VO ",,,lose an office or situation,
22077,lut-koe,lut-koe,lut-kue,lut-kue,拔雞毛,"VO ",,,pluck a fowl,
22078,lut-khu7,lut-khū,lut-khu7,lut-khū,脫臼,"VO ",,,dislocate a joint,
22079,lut-ui7,lut-uī,lut-ui7,lut-uī,失去王位,"VO ",,,lose one's throne,
22080,lut8,lu̍t,lut8,lu̍t,率,"N ",,,"co-efficient, percentage, proportion, rate",
22081,lui8,lu̍i,lui8,lui̍,律,"N ",,,"law, regulation",
22082,luit8,lu̍it,luit8,lui̍t,捋,"V ",,,"squeeze (sthg) out (of one's arm), remove (mucus) from the surface (of an eel), (by wrapping the fingers around and stroking)",
22083,luit8,lu̍it,luit8,lui̍t,擠,"V ",,,milk (a cow),
22084,luit8,lu̍it,luit8,lui̍t,挽,"V ",,,pull up (one's sleeve or trouser leg),
22085,lut8-hoat,lu̍t-hoat,lut8-huat,lu̍t-huat,律法,"N ",,,"code of law, legislation",
22086,lut8-le7,lu̍t-lē,lut8-le7,lu̍t-lē,律例,"N ",,,ordinance,
22087,lut8-leng,lu̍t-leng,lut8-ling,lu̍t-ling,擠奶,"VO ",,,milk,
22088,lut8-leng7,lu̍t-lēng,lut8-ling7,lu̍t-līng,律令,"N ",ê,,goddess of thunder (the wheels of whose cart make the rumble of thunder),
22089,"lut8-su ","lu̍t-su ","lut8-su ","lu̍t-su ",律師,"N ",ê,,lawyer,
22090,m2-a,ḿ-a,m2-a,ḿ-a,伯母,"Na ",,,aunt (father's elder brother's wife),
22091,m2-a,ḿ-a,m2-a,ḿ-a,伯母,"Na ",,,(polite address for old woman) auntie,
22092,m2-po5,ḿ-pô,m2-po5,ḿ-pô,伯祖母,"Na ",,,grand-aunt (wife of paternal grandmofather's brother),
22093,m5,m̂,m5,m̂,蕾,"N  ",,,bud (of a flower),
22094,m5-a2,m̂-á,m5-a2,m̂-á,梅子,"N ",lia̍p,,"plum (mui5-a2 pickled in brine, sold either right from the brine or dried)",
22095,m7,m̄,m7,m̄,不,"Res ",,,No!,
22096,m7,m̄,m7,m̄,不,"neg ",,,not,
22097,m7-a3,m̄-à,m7-a3,m̄-à,不,"Ccl ",,,"(following statement of some difficulty introduces the statement of obligatino to persevere) : but still, however, neverthless",
