id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
34951,thau5-khak-kut,thâu-khak-kut,thau5-khak-kut,thâu-khak-kut,頭殼,"N ",lia̍p,,skull,
34952,thay5-khak-oann2,thây-khak-oáⁿ,thay5-khak-uann2,thây-khak-uánn,頭蓋骨,"N ",lia̍p,,skull,
34953,thau5-khak-phe5,thâu-khak-phê,thau5-khak-phe5,thâu-khak-phê,頭皮,"N ",,,scalp,
34954,thau5-khak-teng7,thâu-khak-tēng,thau5-khak-ting7,thâu-khak-tīng,聰明,"SV ",,,intelligent,
34955,thau5-khoe,thâu-khoe,thau5-khue,thâu-khue,頭盔,"N ",téng,,helmet,
34956,thau5-lang5,thâu-lâng,thau5-lang5,thâu-lâng,領袖,"N ",ê,,"chief, head man",
34957,thau5-loo5,thâu-lô͘,thau5-loo5,thâu-lôo,頭顱,"N ",,,skull bone,
34958,thau5-loo7,thâu-lō͘,thau5-loo7,thâu-lōo,職業,"N ",,,"job, occupation, work",
34959,thau5-mia5,thâu-miâ,thau5-mia5,thâu-miâ,頭一名,"N ",,,"first place (contest, examination, etc)",
34960,thau5-mng5,thâu-mn̂g,thau5-mng5,thâu-mn̂g,頭髮,"N ",,,hair of the head,
34961,thau5-mng5-bin2,thâu-mn̂g-bín,thau5-mng5-bin2,thâu-mn̂g-bín,梳子,"N ",ki,,hair brush,
34962,thau5-mng5 chhi3-he2,thâu-mn̂g chhì-hé,thau5-mng5 tshi3-he2,thâu-mn̂g tshì-hé,跳進火坑,"Vph ",,,rush headlong intodanger,
34963,thau5-mng5-iu5,thâu-mn̂g-iû,thau5-mng5-iu5,thâu-mn̂g-iû,髮油,"N ",,,"hair cream, hair oil, hair tonic",
34964,thau5-nau2,thâu-náu,thau5-nau2,thâu-náu,頭腦,"N ",,,mind,
34965,thau5-oo-soann3,thâu-o͘-sòaⁿ,thau5-oo-suann3,thâu-oo-suànn,頭烏線,N Orn,chiah,,"Gould's quaker thrush, Alcippe brunnea brunnea",
34966,thau5-pai2,thâu-pái,thau5-pai2,thâu-pái,頭次,"M ",,,"first occasion, first time",
34967,thau5-poo3,thâu-pò͘,thau5-poo3,thâu-pòo,頭巾,"N ",tiâu,,"kerchief,  turban",
34968,thau5-poo7,thâu-pō͘,thau5-poo7,thâu-pōo,第一步,"Smod, Pmod ",,,firstly,
34969,thau5-poo7,thâu-pō͘,thau5-poo7,thâu-pōo,第一步,"M ",,,first step,
34970,thau5-poo7,thâu-pō͘,thau5-poo7,thâu-pōo,頭部,"N ",,,head (as) part (of the body),
34971,thau5-phang5,thâu-phâng,thau5-phang5,thâu-phâng,主帆,"N ",pak,,mainsail,
34972,thau5-phoo,thâu-pho͘,thau5-phoo,thâu-phoo,頭皮屑,"N ",,,dandruff,
34973,thau5-sat,thâu-sat,thau5-sat,thâu-sat,頭蝨,N Ent,chiah,,"head louse, Pediculus humanus",
34974,thau5-seng,thâu-seng,thau5-sing,thâu-sing,先,"Pmod ",,,"at first, before",
34975,thau5-sinn,thâu-siⁿ,thau5-sinn,thâu-sinn,生頭胎,"V ",,,be born first,
34976,thau5-su7,thâu-sū,thau5-su7,thâu-sū,序言,"N ",,,preface,
34977,thau5-tin7,thâu-tīn,thau5-tin7,thâu-tīn,先鋒,"N ",,,vanguard,
34978,thau5-tu2-a2,thâu-tú-á,thau5-tu2-a2,thâu-tú-á,剛剛,"TW ",,,"just now, a moment ago",
34979,thau5-thai,thâu-thai,thau5-thai,thâu-thai,頭胎,"N ",,,first pregnancy,
34980,thau5-thiann3,thâu-thiàⁿ,thau5-thiann3,thâu-thiànn,頭痛,"S ",,,the head aches,
34981,thau5-thiann3,thâu-thiàⁿ,thau5-thiann3,thâu-thiànn,頭痛,"SV ",,,"in great trouble, in great difficulty",
34982,thau5-thok,thâu-thok,thau5-thok,thâu-thok,臺灣馬家鰆,"N ",bé,,"a kind of macherel, Sawara guttata",
34983,thau5-ui7,thâu-uī,thau5-ui7,thâu-uī,上位,"N ",,,chief seat,
34984,thau7,thāu,thau7,thāu,毒,"N ",,,poison,
34985,thau7-khi3,thāu-khì,thau7-khi3,thāu-khì,憤恨,"V, SV ",,,(be) resentful,
34986,thau7-si2,thāu-sí,thau7-si2,thāu-sí,毒死,"RV ",,,kill by poison,
34987,thau7-tioh8,thāu-tio̍h,thau7-tioh8,thāu-tio̍h,毒到,"V ",,,be poisoned,
34988,the,the,the,the,推,"V ",,,"excuse oneself (from activity, responsibility, etc)",
34989,the,the,the,the,撐,"V ",,,"recline, lean",
34990,the,the,the,the,撐,"v ",,,"pole (a boat, raft, etc)",
34991,the,the,the,the,胎,"M ",,,birth,
34992,the,the,the,the,胎,"N ",,,"embryo, fetus",
34993,the-bo5,the-bô,the-bo5,the-bô,推託,"V ",,,refuse to admit responsibility or wrong-doing,
34994,the0chun5,the0chûn,the0tsun5,the0tsûn,撐船,"VO ",,,pole a boat,
34995,the-i2,the-í,the-i2,the-í,靠椅,"N ",tè,,chair(with a back),
34996,the-khui,the-khui,the-khui,the-khui,推開,"V ",,,decline to admit involvement,
34997,the-oa2,the-oá,the-ua2,the-uá,倚靠在,"V ",,,lean against,
34998,the-si5,the-sî,the-si5,the-sî,推辭,"V ",,,"decline, excuse oneself, refuse",
34999,the-to2,the-tó,the-to2,the-tó,斜靠,"V ",,,recline,
35000,the-thok,the-thok,the-thok,the-thok,推託,"V ",,,"decline, excuse oneself",
35001,the2,thé,the2,thé,體,"N ",,,body,
35002,the2-bian7/bin7,thé-biān/bīn,the2-bian7/bin7,thé-biān/bīn,體面,"N ",,,"honor, prestige, respectability",
35003,the2-che3,thé-chè,the2-tse3,thé-tsè,體制,"N ",,,"organization, structure, system",
35004,the2-chit,thé-chit,the2-tsit,thé-tsit,體質,"N ",,,physical constitution,
35005,the2-chhai5,thé-chhâi,the2-tshai5,thé-tshâi,體裁,"N ",,,"appearance, form, style",
35006,the2-chhau/chho,thé-chhau/chho,the2-tshau/tsho,thé-tshau/tsho,體操,"N ",,,"drill, gymnastics, physical ecercise",
35007,the2-giam7,thé-giām,the2-giam7,thé-giām,體檢,"V, N ",,,(have) experience,
35008,the2-heng5,thé-hêng,the2-hing5,thé-hîng,體型,"N ",,,bodily form,
35009,the2-heng5,thé-hêng,the2-hing5,thé-hîng,體罰,"N ",,,corporal punishment (for a crime),
35010,the2-hoat8,thé-hoa̍t,the2-huat8,thé-hua̍t,體罰,"N ",,,corporal punishment (as a method of discipline),
35011,the2-hoe7,thé-hōe,the2-hue7,thé-huē,體會,"V ",,,"realize, understand",
35012,the2-iok8,thé-io̍k,the2-iok8,thé-io̍k,體育,"N ",,,"physical education, athletics",
35013,the2-ik8-ka,thé-i̍k-ka,the2-ik8-ka,thé-i̍k-ka,體育家,"N ",ê,,"professional athlete (coach, performer, etc)",
35014,the2-iok8-koan2,thé-io̍k-koán,the2-iok8-kuan2,thé-io̍k-kuán,體育館,"N ",keng,,gymnasium,
35015,the2-iok8-tiunn5,thé-io̍k-tiûⁿ,the2-iok8-tiunn5,thé-io̍k-tiûnn,體育場,"N ",,,athletic field,
35016,the2-kan3 sin5-keng,thé-kàn sîn-keng,the2-kan3 sin5-king,thé-kàn sîn-king,體幹神經,N Anat,,,somatic nerve,
35017,the2-keh,thé-keh,the2-keh,thé-keh,體格,"N ",,,physique,
35018,the2-khang,thé-khang,the2-khang,thé-khang,腔,N Anat,,,body cavity,
35019,the2-lat8/lek8,thé-la̍t/le̍k,the2-lat8/lik8,thé-la̍t/li̍k,體力,"N ",,,physical strength,
35020,the2-liong7,thé-liōng,the2-liong7,thé-liōng,體諒,"V ",,,"excuse (someone), treat with forbearance",
35021,the2-phek,thé-phek,the2-phik,thé-phik,體魄,"N ",,,body and spirit,
35022,the2-sek,thé-sek,the2-sik,thé-sik,樣式,"N ",,,"pattern, model",
35023,the2-sun5-khoan5,thé-sûn-khoân,the2-sun5-khuan5,thé-sûn-khuân,體循環,N Anat,,,systemic circulation,
35024,the2-sut,thé-sut,the2-sut,thé-sut,撫恤,"V ",,,"pity, sympathize with",
35025,the2-tang7,thé-tāng,the2-tang7,thé-tāng,體重,"N ",,,bocy weight,
35026,the2-thai3,thé-thài,the2-thai3,thé-thài,體態,"N ",,,"bearing, gait, manner",
35027,th2-thiap,th-thiap,th2-thiap,th-thiap,體貼,"V ",,,sympathize,
35028,the2-thong2,thé-thóng,the2-thong2,thé-thóng,體統,"N ",,,"appearance, amnner",
35029,the2-un,thé-un,the2-un,thé-un,溫度器,"N ",ki,,medical thermometer,
35030,the3,thè,the3,thè,替,"V ",,,substitute for,
35031,the3,thè,the3,thè,退,"V ",,,"withdraw (person, thing)",
35032,the3,thè,the3,thè,退,"V ",,,recede (water),
35033,the3,thè,the3,thè,退,"V ",,,go down (fever),
35034,the3,thè,the3,thè,退,"V ",,,lose (color,
35035,the3-au7,thè-aū,the3-au7,thè-āu,退後,"V ",,,"go back, retreat",
35036,the3-chit-kim,thè-chit-kim,the3-tsit-kim,thè-tsit-kim,退職金,"N ",,,lump sum paid on retirement,
35037,the3-chhiu2,thè-chhiú,the3-tshiu2,thè-tshiú,替手,"VO ",,,substitute for (someone),
35038,the3-chhiu2,thè-chhiú,the3-tshiu2,thè-tshiú,替手,"N ",ê,,substitute worker,
35039,the3-chhut,thè-chhut,the3-tshut,thè-tshut,退出,"V ",,,withdraw from (an organization),
35040,the3-hak8,thè-ha̍k,the3-hak8,thè-ha̍k,退學,"V ",,,drop out of school,
35041,the3-hak8,thè-ha̍k,the3-hak8,thè-ha̍k,退學,"V ",,,be expelled from school,
35042,the3-heng5,thè-hêng,the3-hing5,thè-hîng,退還,"V ",,,send back (goods),
35043,the3-hiu,thè-hiu,the3-hiu,thè-hiu,退休,"V ",,,retire (from a position),
35044,the3-hiu-kim,thè-hiu-kim,the3-hiu-kim,thè-hiu-kim,退休金,"N ",,,lump sum paid on retirement,
35045,the3-hoa3,thè-hòa,the3-hua3,thè-huà,退化,"V ",,,degenerate,
35046,the3-hoe2,thè-hóe,the3-hue2,thè-hué,去火,"VO ",,,reduce the hot principle in the body (Chinese medicine),
35047,the3-hoe2,thè-hóe,the3-hue2,thè-hué,後悔,"V ",,,regret (one's action),
35048,the3-hong5,thè-hông,the3-hong5,thè-hông,消炎,"VO ",,,reduce inclammation or swelling,
35049,the3-inn7,thè-īⁿ,the3-inn7,thè-īnn,出院,"VO ",,,be discharged from hospital,
35050,the3-jiat8,thè-jia̍t,the3-jiat8,thè-jia̍t,退熱,"VO ",,,"reduce a fever, have a fever go down",
35051,the3-jim7,thè-jīm,the3-jim7,thè-jīm,退休,"VO ",,,resign an office,
35052,the3-jim7,thè-jīm,the3-jim7,thè-jīm,退休,"VO ",,,be inactive (ordained minister who is not at present in active ministry under the Church),
35053,the3-ke7,thè-kē,the3-ke7,thè-kē,退潮,"V ",,,"ebb, recede",
35054,the3-kiu5,thè-kiû,the3-kiu5,thè-kiû,代求,"V ",,,intercede for someone (prayer),
35055,the3-kng,thè-kng,the3-kng,thè-kng,朦朧,"VO ",,,"lose brillance, become dim or dull",
35056,the3-kong2,thè-kóng,the3-kong2,thè-kóng,代講,"V ",,,speak for someone else,
35057,the3-khin5,thè-khîn,the3-khin5,thè-khîn,下班,"V ",,,"go off duty, leave wrok",
35058,the3-khui,thè-khui,the3-khui,thè-khui,退開,"V ",,,"step aside, make way",
35059,the3-khun5,thè-khûn,the3-khun5,thè-khûn,下班,"V ",,,"go off duty, leave work",
35060,the3-li7,thè-lī,the3-li7,thè-lī,退離,"V ",,,withdraw from,
35061,the3-ni2,thè-ní,the3-ni2,thè-ní,退色,"VO ",,,fade (not color-fast),
35062,the3-niu7,thè-niū,the3-niu7,thè-niū,退讓,"V ",,,"concede, yield",
35063,the3-ngoo23-te,thè-ngò͘2-te,the3-ngoo23-te,thè-ngòo2-te,退伍,"VO ",,,retire form military service,
35064,the3-oa7,thè-oā,the3-ua7,thè-uā,替換,"V ",,,"change (clothes, guard, etc)",
35065,the3-oh8,thè-o̍h,the3-oh8,thè-o̍h,退學,"VO ",,,drop our of school,
35066,the3-oh8,thè-o̍h,the3-oh8,thè-o̍h,退學,"VO ",,,be expelled from school,
35067,the3-poo7,thè-pō͘,the3-poo7,thè-pōo,退步,"VO ",,,retrogress,
35068,the3-sek,thè-sek,the3-sik,thè-sik,退色,"VO ",,,"fade, losr color",
35069,the3-sin,thè-sin,the3-sin,thè-sin,替身,"N ",,,substitute for a person (another person or a figure),
35070,the3-sio,thè-sio,the3-sio,thè-sio,退熱,"VO ",,,"abate (fever), reduce fever",
35071,the3-siok,thè-siok,the3-siok,thè-siok,退縮,"V ",,,"draw in, shrink back",
35072,the3-siok8,thè-sio̍k,the3-siok8,thè-sio̍k,替贖,"V ",,,"atone, redeem",
35073,the3-siu,thè-siu,the3-siu,thè-siu,退休,"V ",,,retreat,
35074,the3-siu-hoe7,thè-siu-hōe,the3-siu-hue7,thè-siu-huē,退修會,"N ",,,religious retreat,
35075,the3-siu7,thè-siū,the3-siu7,thè-siū,代受,"V ",,,substitute in receiving,
35076,the3-tiau5,thè-tiâu,the3-tiau5,thè-tiâu,退潮,"VO ",,,ebb (tide),
35077,the3-tng5,thè-tn̂g,the3-tng5,thè-tn̂g,退堂,"VO ",,,withdraw from the court,
35078,the3-ui7,thè-uī,the3-ui7,thè-uī,退位,"VO ",,,abdicate a throne,
35079,the5,thê,the5,thê,提,"V ",,,"propose a question, raise a question",
35080,the5-an3,thê-àn,the5-an3,thê-àn,提案,"VO ",,,submit a motion,
35081,the5-beng5,thê-bêng,the5-bing5,thê-bîng,提明,"V ",,,make a clear suggection,
35082,the5-cha2,thê-chá,the5-tsa2,thê-tsá,提早,"V ",,,begin early,
35083,the5-chheng2,thê-chhéng,the5-tshing2,thê-tshíng,提請,"V ",,,request,
35084,the5-chhinn2,thê-chhíⁿ,the5-tshinn2,thê-tshínn,提醒,"V ",,,remind,
35085,the5-chhinn2,thê-chhíⁿ,the5-tshinn2,thê-tshínn,提醒,"V ",,,awaken to a sense of sthg,
35086,the5-chhiong3,thê-chhiòng,the5-tshiong3,thê-tshiòng,提倡,"V ",,,"abvocate, promote",
35087,the5-chhut,thê-chhut,the5-tshut,thê-tshut,提出,"V ",,,"submit (proposal, document, etc)",
35088,the5-gi7,thê-gī,the5-gi7,thê-gī,提議,"V ",,,make a motion,
35089,the5-he5,thê-hê,the5-he5,thê-hê,提攜,"V ",,,cooperate in doing sthg,
35090,the5-hoann7,thê-hōaⁿ,the5-huann7,thê-huānn,堤岸,"N ",tiâu,,"embankment, dike",
35091,the5-hong5,thê-hông,the5-hong5,thê-hông,堤,"V ",,,take precautions,
35092,the5-hong5,thê-hông,the5-hong5,thê-hông,堤,"N ",,,"embankment, dike",
35093,the5-kau,thê-kau,the5-kau,thê-kau,提交,"V ",,,"hand in, hand over, deliver",
35094,the5-kiong2,thê-kióng,the5-kiong2,thê-kióng,提供,"V ",,,offer,
35095,the5-ko,thê-ko,the5-ko,thê-ko,提高,"V ",,,"elevate, raise (to a higher level)",
35096,the5-khi2,thê-khí,the5-khi2,thê-khí,提起,"V ",,,"introduce, raise, or take up (a subject)",
35097,the5-khim5,thê-khîm,the5-khim5,thê-khîm,提琴,"N ",ki,,"violin, viola, cello, bass viol",
35098,the5-loo5,thê-lô͘,the5-loo5,thê-lôo,提爐,"N ",ê,,"censer, thurible",
35099,the5-mia5,thê-miâ,the5-mia5,thê-miâ,提名,"VO ",,,nominate,
35100,The5-moo5-thai3,Thê-mô͘-thài,The5-moo5-thai3,Thê-môo-thài,提摩太,Npers Bib Prot,,,Timothy (cf Te7-bo.7-tek),
35101,the5-oo5,thê-ô͘,the5-oo5,thê-ôo,鵜鶘,N Zool,chiah,,"Dalmatian pelican, Pelcanus roseus crispus",
35102,the5-oo5(-chiau2),thê-ô͘(-chiáu),the5-oo5(-tsiau2),thê-ôo(-tsiáu),鵜鶘,"N ",chiah,,pelican,
35103,the5-poat8,thê-poa̍t,the5-puat8,thê-pua̍t,提拔,"V ",,,elevate to higher rank,
35104,the5-seng2,thê-séng,the5-sing2,thê-síng,提醒,"V ",,,remind,
35105,the5-seng2,thê-séng,the5-sing2,thê-síng,提醒,"V ",,,awaken to a sense of sthg,
35106,the-si7,the-sī,the-si7,the-sī,提示,"V ",,,"indicate, suggest",
35107,the5-sim2,thê-sím,the5-sim2,thê-sím,提審,"V ",,,submit (sthg) for legal investigation,
35108,the5-sin5,thê-sîn,the5-sin5,thê-sîn,提神,"VO ",,,stimulate the mind,
35109,the5-soan2,thê-soán,the5-suan2,thê-suán,提選,"V ",,,nominate for election,
35110,The5-to,Thê-to,The5-to,Thê-to,提多書,Npers Bib Prot,,,Titus (cf Te7-tok8-su),
35111,the5-tok,thê-tok,the5-tok,thê-tok,提督,"N  ",ê,,chief officer,
35112,theh-theh,theh-theh,theh-theh,theh-theh,赤裸裸,"pVmod ",,,completely,
35113,theh8,the̍h,theh8,the̍h,宅,"N ",,,land around and belonging to a residence,
35114,theh8,the̍h,theh8,the̍h,拿,"V ",,,"take up in one's hand, bring, carry, take (pVmod oe7/boe7-khi2-lai5)",
35115,theh8-ke3(-lai5-khi3),the̍h-kè(-lâi-khì),theh8-ke3(-lai5-khi3),the̍h-kè(-lâi-khì),拿過去,"V ",,,"move sthg to another place (nearly), pass sthg",
35116,theh8-khi2(-lai5/khi3),the̍h-khí(-lâi/khì),theh8-khi2(-lai5/khi3),the̍h-khí(-lâi/khì),拿起來,"V ",,,"bring up, bring out, take up, take out",
35117,theh8-khi3,the̍h-khì,theh8-khi3,the̍h-khì,拿走,"V ",,,"take , take away",
35118,theh8-khi3,the̍h-khì,theh8-khi3,the̍h-khì,拿走,"V ",,,Take it! Take it away!,
35119,theh8-phoe,the̍h-phoe,theh8-phue,the̍h-phue,送信,"VO ",,,deliver mail,
35120,theh8-phoe-e5,the̍h-phoe-ê,theh8-phue-e5,the̍h-phue-ê,郵差,"N ",ê,,postman,
35121,theh8-sin5,the̍h-sîn,theh8-sin5,the̍h-sîn,宅神,"N ",,,household gods,
35122,theh8-tng2(-lai5/khi3),the̍h-tńg(-lâi/khì),theh8-tng2(-lai5/khi3),the̍h-tńg(-lâi/khì),拿回來,"V ",,,being or take back,
35123,theh8-to3-tng2,the̍h-tò-tńg,theh8-to3-tng2,the̍h-tò-tńg,倒拿,"V ",,,bring or take back,
35124,theh8-to3-tng2,the̍h-tò-tńg,theh8-to3-tng2,the̍h-tò-tńg,倒拿,"V ",,,carry upside down,
35125,thek,thek,thik,thik,剔,"V ",,,cut flesh from bones,
35126,thek-bah,thek-bah,thik-bah,thik-bah,剔肉,"VO ",,,cut flesh from bones,
35127,thek-beng7,thek-bēng,thik-bing7,thik-bīng,命令,"N ",,,imperial decree,
35128,thek-hong,thek-hong,thik-hong,thik-hong,勒封,"V ",,,appoint by imperial decree,
35129,thek-hong,thek-hong,thik-hong,thik-hong,勒封,"V ",,,canonize,
35130,thek-leng7,thek-lēng,thik-ling7,thik-līng,勒令,"N ",,,imperial drcree,
35131,thek-leng7,thek-lēng,thik-ling7,thik-līng,勒令,"N ",,,Tao: charm written on yellow paper,
35132,thek-minn7,thek-mīⁿ,thik-minn7,thik-mīnn,責罵,"V ",,,"rebuke, scold",
35133,thek-sinn,thek-siⁿ,thik-sinn,thik-sinn,畜牲,"N ",,,animal beast,
35134,thek-sinn,thek-siⁿ,thik-sinn,thik-sinn,畜牲,"N ",,,brute,
35135,theng-kut,theng-kut,thing-kut,thing-kut,骨廷骨,"N ",ki,,thigh bone,
35136,theng2,théng,thing2,thíng,放任,"V ",,,indulge or spoil (a person),
35137,theng2,théng,thing2,thíng,逞強,"V ",,,ac impulsively,
35138,theng2-a2-hi5,théng-á-hî,thing2-a2-hi5,thíng-á-hî,斑海鯰,"N ",bé,,"a kind of sea catfish, Arius maculatus",
35139,theng2-hiong,théng-hiong,thing2-hiong,thíng-hiong,逞兇,"V ",,,"rage, be rampant",
35140,theng2-kiong5,théng-kiông,thing2-kiong5,thíng-kiông,逞強,"V ",,,act in an over-bearing manner,
35141,theng2-koainn5,théng-koâiⁿ,thing2-kuainn5,thíng-kuâinn,逞高,"V ",,,be proud and insolent (toward one's superior),
35142,theng2-seng7,théng-sēng,thing2-sing7,thíng-sīng,放縱,"V ",,,indulge or spoil (someone),
35143,theng2-chiong3,théng-chiòng,thing2-tsiong3,thíng-tsiòng,聽眾,"N ",,,audience,
35144,theng3-hau7,thèng-hāu,thing3-hau7,thìng-hāu,等待,"V ",,,wait,
35145,theng3-khoann3,thèng-khòaⁿ,thing3-khuann3,thìng-khuànn,可以看,"V ",,,allow one to look,
35146,theng3-thai7,thèng-thāi,thing3-thai7,thìng-thāi,等待,"V ",,,wait for,
35147,theng5,thêng,thing5,thîng,停,"V ",,,"cease, stop",
35148,theng5-,thêng-,thing5-,thîng-,挺,"SV ",,"thêng-thêng, thêng-thêng-thêng","straight, erect",
35149,theng5-a2,thêng-á,thing5-a2,thîng-á,停一會兒 等一會兒,"Smod Pmod ",,,shortly,
35150,theng5-be2,thêng-bé,thing5-be2,thîng-bé,停馬,"VO ",,,stop a horse,
35151,theng5-bun5,thêng-bûn,thing5-bun5,thîng-bûn,呈文,"VO ",,,present official documents,
35152,theng5-chi2,thêng-chí,thing5-tsi2,thîng-tsí,停止,"V ",,,stop a horse,
35153,theng5-chit,thêng-chit,thing5-tsit,thîng-tsit,停職,"V ",,,suspend someone (from office),
35154,theng5-chheng2,thêng-chhéng,thing5-tshing2,thîng-tshíng,呈請,"V ",,,present a formal request,
35155,theng5-chhia,thêng-chhia,thing5-tshia,thîng-tshia,停車,"VO ",,,stop a vehicle,
35156,theng5-chhia-cham7,thêng-chhia-chām,thing5-tshia-tsam7,thîng-tshia-tsām,停車站,"N ",,,but stop,
35157,theng5-chhia-tiunn5,thêng-chhia-tiûⁿ,thing5-tshia-tiunn5,thîng-tshia-tiûnn,停車場,"N ",,,"parking area, parking lot",
35158,theng5-chhiu2,thêng-chhiú,thing5-tshiu2,thîng-tshiú,住手,"VO ",,,"stop work, desist",
35159,theng5-giap8,thêng-gia̍p,thing5-giap8,thîng-gia̍p,停業,"VO ",,,suspend business,
35160,theng5-heng,thêng-heng,thing5-hing,thîng-hing,挺胸,"V ",,,throw our one'c chest,
35161,theng5-hioh,thêng-hioh,thing5-hioh,thîng-hioh,停歇,"V ",,,"stop work, rest",
35162,theng5-kang,thêng-kang,thing5-kang,thîng-kang,停工,"VO ",,,stop work (end of day),
35163,theng50kang,thêng0kang,thing50kang,thîng0kang,停工,"VO ",,,"suspend work (lack of money, etc)",
35164,theng5-kha,thêng-kha,thing5-kha,thîng-kha,歇腳,"VO ",,,"stop walking, rest",
35165,theng5-kha-poo7,thêng-kha-pō͘,thing5-kha-poo7,thîng-kha-pōo,止步,"VO ",,,"stop walking   ",
35166,theng5-khan,thêng-khan,thing5-khan,thîng-khan,停刊,"VO ",,,stop publishing,
35167,theng5-khi2,thêng-khí,thing5-khi2,thîng-khí,騰起,"V ",,,"rise (mist, etc)",
35168,theng5-kho3,thêng-khò,thing5-kho3,thîng-khò,停課,"VO ",,,"stop classes (at the end of term), suspend classes",
35169,theng5-khong,thêng-khong,thing5-khong,thîng-khong,騰空,"V ",,,"mount up in the sky, soar",
35170,theng5-khui3,thêng-khùi,thing5-khui3,thîng-khuì,停止呼吸,"VO ",,,hold (one's) breath,
35171,theng5-khun3,thêng-khùn,thing5-khun3,thîng-khùn,休息,"V ",,,"stop work, rest",
35172,theng5-pan2,thêng-pán,thing5-pan2,thîng-pán,停版,"VO ",,,stop publication,
35173,theng5-pan7,thêng-pān,thing5-pan7,thîng-pān,停辦,"V ",,,stop managing,
35174,theng5-pit,thêng-pit,thing5-pit,thîng-pit,停筆,"VO ",,,stop writing,
35175,theng5-poo7,thêng-pō͘,thing5-poo7,thîng-pōo,停步,"VO ",,,"halt, stop",
35176,theng5-pun2,thêng-pún,thing5-pun2,thîng-pún,謄本,"N ",,,"certified copy, official transcrip",
35177,theng5-sia2-pan2,thêng-siá-pán,thing5-sia2-pan2,thîng-siá-pán,油印機,"N ",,,"duplicator, silk screen duplicator",
35178,theng5-sin,thêng-sin,thing5-sin,thîng-sin,挺身,"VO ",,,hold oneself erect,
35179,theng5-soah,thêng-soah,thing5-suah,thîng-suah,停煞,"V ",,,"cease, stop",
35180,theng5-su7,thêng-sū,thing5-su7,thîng-sū,程序,"N ",,,"order (of a meeting, business, procedure, etc, syn chhu3-su7, tiat8-su7)",
35181,theng5-tian7,thêng-tiān,thing5-tian7,thîng-tiān,停電,"VO ",,,shut off electric power (at the generating plant),
35182,theng5-tit8,thêng-ti̍t,thing5-tit8,thîng-ti̍t,挺直,"V ",,,straighten,
35183,theng5-too7,thêng-tō͘,thing5-too7,thîng-tōo,程度,"N ",,,"degree, grade, level, standard",
35184,theng5-tun3,thêng-tùn,thing5-tun3,thîng-tùn,停頓,"V ",,,"stop, suspend (business)",
35185,thi-cham7-chio5,thi-chām-chiô,thi-tsam7-tsio5,thi-tsām-tsiô,地斬頭,"N ",châng,,Elephantopus mollis,
35186,thi-heng5,thi-hêng,thi-hing5,thi-hîng,笞刑,"N ",,,"flogging, lashing",
35187,thi-tam2-thio5,thi-tám-thiô,thi-tam2-thio5,thi-tám-thiô,地膽頭,"N ",châng,,Elephantopus mollis,
35188,thi2,thí,thi2,thí,搋,"V ",,,"open out (fan, unbrella, etc)",
35189,thi2,thí,thi2,thí,搋,"V ",,,become unsnarled,
35190,thi2-chhio3,thí-chhiò,thi2-tshio3,thí-tshiò,嘲笑,"V ",,,"laugh at, scoff",
35191,thi2-kut,thí-kut,thi2-kut,thí-kut,恥骨,N Anat,,,public bone,
35192,thi2-khui,thí-khui,thi2-khui,thí-khui,張開,"V ",,,"open out, unfurl",
35193,thi3,thì,thi3,thì,剃,"V ",,,shave,
35194,thi3,thì,thi3,thì,剃,"V ",,,cut the hair,
35195,thi3-thau5,thì-thâu,thi3-thau5,thì-thâu,剃頭,"VO ",,,get or give a haircut,
35196,thi3-thau5,thì-thâu,thi3-thau5,thì-thâu,剃頭,"VO ",,,shave one's head,
35197,thi3-thau5 sai-hu7,thì-thâu sai-hū,thi3-thau5 sai-hu7,thì-thâu sai-hū,理髮師,"N ",ê,,barber,
35198,thi3-thau5-to,thì-thâu-to,thi3-thau5-to,thì-thâu-to,剃頭刀,"N ",ki,,razor,
35199,thi5,thî,thi5,thî,啼,"V ",,,crow (rooster),
35200,thi5,thî,thi5,thî,苔,"N ",,,moss,
35201,thi5-chhai3,thî-chhài,thi5-tshai3,thî-tshài,乾苔,"N ",,,"an edible green seaweed, Enteromorpha compressa",
35202,thi5-chhau2,thî-chháu,thi5-tshau2,thî-tsháu,鋤草,"VO ",,,hoe or spade out weeds or grass,
35203,thi5-chhinn2,thî-chhíⁿ,thi5-tshinn2,thî-tshínn,提醒,"V ",,,"awaken notice, bring to the attention ",
35204,thi5-hau2,thî-háu,thi5-hau2,thî-háu,啼哭,"V ",,,sob bitterly,
35205,thi5-khau3,thî-khàu,thi5-khau3,thî-khàu,啼哭,"V ",,,"cry, lament, wail",
35206,thi5-tiau5,thî-tiâu,thi5-tiau5,thî-tiâu,乾苔,"N ",,,"an edible seaweed, Enteromorpha compressa",
35207,thi5-ke/koe,thî-ke/koe,thi5-ke/kue,thî-ke/kue,雉雞,"N ",chiah,,pheasant (general term),
35208,thi5-ke/koe,thî-ke/koe,thi5-ke/kue,thî-ke/kue,雉雞,"N ",chiah,,"Swinhoe's blue pheasant, Laphura swinhoii",
35209,thinn,thiⁿ,thinn,thinn,天,"N ",,,sky,
35210,thinn,thiⁿ,thinn,thinn,天,"N ",,,heaven,
