id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
3940,Khoann3 tang khoann3 sai,,Khòaⁿ tang khòaⁿ sai,,Khuann3 tang khuann3 sai,,Khuànn tang khuànn sai,,看東看西,550
3941,Sai2,,Sái,,Sai2,,Sái,,屎、糞,550
3942,Pang3 sai2,,Pàng sái,,Pang3 sai2,,Pàng sái,,大便,550
3943,Hun sai2,,Hun sái,,Hun sai2,,Hun sái,,煙灰,550
3944,Hun-sai2 khok-a2,,Hun-sái khok-á,,Hun-sai2 khok-a2,,Hun-sái khok-á,,煙灰盤,551
3945,Bak8-sai2,,Ba̍k-sái,,Bak8-sai2,,Ba̍k-sái,,眼淚,551
3946,Lau5 bak8-sai2,,Lâu ba̍k-sái,,Lau5 bak8-sai2,,Lâu ba̍k-sái,,流眼淚,551
3947,Hinn7-sai2,,Hīⁿ-sái,,Hinn7-sai2,,Hīnn-sái,,耳中的分泌物,551
3948,Phinn7 sai2,,Phīⁿ sái,,Phinn7 sai2,,Phīnn sái,,鼻中的分泌物,551
3949,Chng2-kah-sai2,,Chńg-kah-sái,,Tsng2-kah-sai2,,Tsńg-kah-sái,,指甲內的污物,551
3950,Sai2-thang2-a2,,Sái-tháng-á,,Sai2-thang2-a2,,Sái-tháng-á,,糞桶,551
3951,Sai,,Sai,,Sai,,Sai,,獅,551
3952,Sak,,Sak,,Sak,,Sak,,推,551
3953,Sam3-poo7,,Sàm-pō͘,,Sam3-poo7,,Sàm-pōo,,散步,551
3954,Sam2,,Sám,,Sam2,,Sám,,撒,552
3955,Sam2 iam5,,Sám iâm,,Sam2 iam5,,Sám iâm,,撒鹽,552
3956,Sam2 hoo5-chio,,Sám hô͘-chio,,Sam2 hoo5-tsio,,Sám hôo-tsio,,撒胡椒,552
3957,Sam,,Sam,,Sam,,Sam,,杉,552
3958,San3,,Sàn,,San3,,Sàn,,貧窮,552
3959,Sam-chha5,,Sam-chhâ,,Sam-tsha5,,Sam-tshâ,,杉木,552
3960,San3-chhiah-lang5,,Sàn-chhiah-lâng,,San3-tshiah-lang5,,Sàn-tshiah-lâng,,窮人,552
3961,San2,,Sán,,San2,,Sán,,瘦,552
3962,San2-bah,Chiann-bah,Sán-bah,Chiaⁿ-bah,San2-bah,Tsiann-bah,Sán-bah,Tsiann-bah,瘦肉,552
3963,Sang3,,Sàng,,Sang3,,Sàng,,送,552
3964,Sang3 le2 but8,,Sàng lé bu̍t,,Sang3 le2 but8,,Sàng lé bu̍t,,送禮物,552
3965,Sang3 lang5-kheh,,Sàng lâng-kheh,,Sang3 lang5-kheh,,Sàng lâng-kheh,,送客人,552
3966,Sang3 i khi3,,Sàng i khì,,Sang3 i khi3,,Sàng i khì,,送他去,552
3967,Sat-bu2,Sat-bo2,Sat-bú,Sat-bó,Sat-bu2,Sat-bo2,Sat-bú,Sat-bó,蝨子,553
3968,Sat-jin5,,Sat-jîn,,Sat-jin5,,Sat-jîn,,殺人,553
3969,Sau3,,Sàu,,Sau3,,Sàu,,咳嗽,553
3970,Sat-seng,,Sat-seng,,Sat-sing,,Sat-sing,,殺生,553
