id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
2720,Ki2-heng5,,Kí-hêng,,Ki2-hing5,,Kí-hîng,,舉行,379
2721,Ki-liong5,Ke-lang5,Ki-liông,Ke-lâng,Ki-liong5,Ke-lang5,Ki-liông,Ke-lâng,基隆,379
2722,Ki5-koai3,,Kî-koài,,Ki5-kuai3,,Kî-kuài,,奇怪、古怪,380
2723,Ki2-heng5 pit8-giap8 sek,,Kí-hêng pi̍t-gia̍p sek,,Ki2-hing5 pit8-giap8 sik,,Kí-hîng pi̍t-gia̍p sik,,舉行畢業典禮,380
2724,Ki2-heng5 kiat-hun-sek,,Kí-hêng kiat-hun-sek,,Ki2-hing5 kiat-hun-sik,,Kí-hîng kiat-hun-sik,,舉行結婚典禮,380
2725,Ki3-lok8,,Kì-lo̍k,,Ki3-lok8,,Kì-lo̍k,,記錄,380
2726,Ki3-chia2,,Kì-chiá,,Ki3-tsia2,,Kì-tsiá,,記者,380
2727,Ki5-sut8,,Kî-su̍t,,Ki5-sut8,,Kî-su̍t,,奇術、魔術,381
2728,Ki3-hu3,,Kì-hù,,Ki3-hu3,,Kì-hù,,捐、樂捐,381
2729,Ki-kim,,Ki-kim,,Ki-kim,,Ki-kim,,基金,381
2730,Ki5-to2,,Kî-tó,,Ki5-to2,,Kî-tó,,祈禱,381
2731,Kinn3,,Kìⁿ,,Kinn3,,Kìnn,,見,381
2732,Khoann3-kinn3,,Khòaⁿ-kìⁿ,,Khuann3-kinn3,,Khuànn-kìnn,,看見,381
2733,Thiann-kinn3,,Thiaⁿ-kìⁿ,,Thiann-kinn3,,Thiann-kìnn,,聽見,382
2734,Bang7-kinn3,,Bāng-kìⁿ,,Bang7-kinn3,,Bāng-kìnn,,夢見,382
2735,Phang3-kinn3,,Phàng-kìⁿ,,Phang3-kinn3,,Phàng-kìnn,,丟了,382
2736,Khoann3- mi5-sat,,Khòaⁿ- mî-sat,,Khuann3- mi5-sat,,Khuànn- mî-sat,,,383
2737,Thiann to7-li2,,Thiaⁿ tō-lí,,Thiann to7-li2,,Thiann tō-lí,,聽道理,383
2738,Kia3,,Kià,,Kia3,,Kià,,寄、存,383
2739,Kia3 chinn5,,Kià chîⁿ,,Kia3 tsinn5,,Kià tsînn,,存款,383
2740,Kia3 phoe,,Kià phoe,,Kia3 phue,,Kià phue,,寄信,383
2741,Kia7,,Kiā,,Kia7,,Kiā,,坡,384
2742,Peh-kia7,,Peh-kiā,,Peh-kia7,,Peh-kiā,,上坡,384
2743,Loh8-kia7,,Lo̍h-kiā,,Loh8-kia7,,Lo̍h-kiā,,下坡,384
2744,Kiann7,,Kiāⁿ,,Kiann7,,Kiānn,,件,384
2745,Mih8-kiann7,,Mi̍h-kiāⁿ,,Mih8-kiann7,,Mi̍h-kiānn,,物件,384
2746,Chit8 kiann7 heng5-li2,,Chi̍t kiāⁿ hêng-lí,,Tsit8 kiann7 hing5-li2,,Tsi̍t kiānn hîng-lí,,一件行李,384
2747,Kiann2,,Kiáⁿ,,Kiann2,,Kiánn,,孩子,385
2748,Ke-a2-kiann2,,Ke-á-kiáⁿ,,Ke-a2-kiann2,,Ke-á-kiánn,,小雞,385
2749,Niau-a2-kiann2,,Niau-á-kiáⁿ,,Niau-a2-kiann2,,Niau-á-kiánn,,小貓,385
2750,Kau2-a2-kiann2,,Káu-á-kiáⁿ,,Kau2-a2-kiann2,,Káu-á-kiánn,,小狗,385
2751,Ti-a2-kiann2,,Ti-á-kiáⁿ,,Ti-a2-kiann2,,Ti-á-kiánn,,小豬,385
2752,Kiann,,Kiaⁿ,,Kiann,,Kiann,,恐怕、害怕,385
2753,Kiann5,,Kiâⁿ,,Kiann5,,Kiânn,,走、行,385
2754,Kiann5 lai5 kiann5 khi3,,Kiâⁿ lâi kiâⁿ khì,,Kiann5 lai5 kiann5 khi3,,Kiânn lâi kiânn khì,,走來走去,385
2755,Kiann liau2,Kiann i2/Kiann a2,Kiaⁿ liáu,Kiaⁿ í/Kiaⁿ á,Kiann liau2,Kiann i2/Kiann a2,Kiann liáu,Kiann í/Kiann á,恐怕,385
2756,Kiann2-sun,,Kiáⁿ-sun,,Kiann2-sun,,Kiánn-sun,,子孫,386
2757,Kiann2-sai3,,Kiáⁿ-sài,,Kiann2-sai3,,Kiánn-sài,,女婿,386
2758,Kiann3,,Kiàⁿ,,Kiann3,,Kiànn,,鏡子,386
2759,Chhiu2-kiann3,,Chhiú-kiàⁿ,,Tshiu2-kiann3,,Tshiú-kiànn,,手鏡,386
2760,Bak8-kiann3,,Ba̍k-kiàⁿ,,Bak8-kiann3,,Ba̍k-kiànn,,眼鏡,386
2761,Koann3 bak8-kiann3,,Kòaⁿ ba̍k-kiàⁿ,,Kuann3 bak8-kiann3,,Kuànn ba̍k-kiànn,,戴眼鏡,386
2762,Kiam2,,Kiám,,Kiam2,,Kiám,,減,386
2763,Kiam5,,Kiâm,,Kiam5,,Kiâm,,鹹,386
2764,Kiam2-chhai2,,Kiám-chhái,,Kiam2-tshai2,,Kiám-tshái,,萬一、或許,386
2765,Kiam,,Kiam,,Kiam,,Kiam,,兼,387
2766,Kiám-cha,,Kiám-cha,,Kiám-tsa,,Kiám-tsa,,檢查,387
2767,Kiam2-un,,Kiám-un,,Kiam2-un,,Kiám-un,,檢溫,387
2768,Kiam2-un-khi3,,Kiám-un-khì,,Kiam2-un-khi3,,Kiám-un-khì,,檢溫器,387
2769,Kian3-siau3,,Kiàn-siàu,,Kian3-siau3,,Kiàn-siàu,,害羞、怕羞,387
2770,Kian7-khong,,Kiān-khong,,Kian7-khong,,Kiān-khong,,健康,388
2771,Khong-kian7,,Khong-kiān,,Khong-kian7,,Khong-kiān,,康健,388
2772,Kian3-pun2,,Kiàn-pún,,Kian3-pun2,,Kiàn-pún,,樣本、樣品,388
2773,Kian-koo3,,Kian-kò͘,,Kian-koo3,,Kian-kòo,,堅固,388
2774,Kian-lin7,,Kian-līn,,Kian-lin7,,Kian-līn,,慳吝,388
2775,Kiat-hinn3-sak,,Kiat-hìⁿ-sak,,Kiat-hinn3-sak,,Kiat-hìnn-sak,,拋棄、丟掉,388
2776,Kiat-hun,,Kiat-hun,,Kiat-hun,,Kiat-hun,,結婚,389
2777,Kiat-ko2,,Kiat-kó,,Kiat-ko2,,Kiat-kó,,結果,389
2778,Kiat,Kiok8,Kiat,Kio̍k,Kiat,Kiok8,Kiat,Kio̍k,吝嗇,389
2779,Kiau2-jiau2,,Kiáu-jiáu,,Kiau2-jiau2,,Kiáu-jiáu,,打擾,389
2780,Kiau-ngoo7,,Kiau-ngō͘,,Kiau-ngoo7,,Kiau-ngōo,,驕傲,389
2781,Kiau2,,Kiáu,,Kiau2,,Kiáu,,賭博,390
2782,Kim,,Kim,,Kim,,Kim,,金、光滑,390
2783,Kim-khoo3,,Kim-khò͘,,Kim-khoo3,,Kim-khòo,,金庫,390
2784,Kim-choa2,,Kim-chóa,,Kim-tsua2,,Kim-tsuá,,金紙,390
2785,A-kim7,,A-kīm,,A-kim7,,A-kīm,,舅母,390
2786,Kim-koe,,Kim-koe,,Kim-kue,,Kim-kue,,南瓜,390
2787,Kim3-chi2,Kim3,Kìm-chí,Kìm,Kim3-tsi2,Kim3,Kìm-tsí,Kìm,禁止、禁,390
2788,Kin-a2-jit8,,Kin-á-ji̍t,,Kin-a2-jit8,,Kin-á-ji̍t,,今天,390
2789,Kin,,Kin,,Kin,,Kin,,巾,391
2790,Chhiu2-kin,,Chhiú-kin,,Tshiu2-kin,,Tshiú-kin,,手帕,391
2791,Toh-kin,,Toh-kin,,Toh-kin,,Toh-kin,,檯巾,391
2792,Chiah8-png7-kin,,Chia̍h-pn̄g-kin,,Tsiah8-png7-kin,,Tsia̍h-pn̄g-kin,,餐巾,391
2793,Bin7-kin,,Bīn-kin,,Bin7-kin,,Bīn-kin,,毛巾,391
2794,Kin2,,Kín,,Kin2,,Kín,,快,391
2795,Kin-ni5,,Kin-nî,,Kin-ni5,,Kin-nî,,今年,391
2796,Kin7-lai5,,Kīn-lâi,,Kin7-lai5,,Kīn-lâi,,近來,391
2797,Kin,,Kin,,Kin,,Kin,,斤,391
2798,Kong-kin,,Kong-kin,,Kong-kin,,Kong-kin,,公斤,391
2799,Kin7,,Kīn,,Kin7,,Kīn,,近,391
2800,Kin7-si7,,Kīn-sī,,Kin7-si7,,Kīn-sī,,近視,391
2801,Kio7,,Kiō,,Kio7,,Kiō,,轎,391
2802,Kio3,,Kiò,,Kio3,,Kiò,,叫,392
2803,Kio5,,Kiô,,Kio5,,Kiô,,橋,392
2804,Koe3-kio5,,Kòe-kiô,,Kue3-kio5,,Kuè-kiô,,過橋,392
2805,Kio5,Ang5-phoe5-chhai3,Kiô,Âng-phôe-chhài,Kio5,Ang5-phue5-tshai3,Kiô,Âng-phuê-tshài,茄子,392
2806,Kiong5,,Kiông,,Kiong5,,Kiông,,強,392
2807,Kiong-hi2,,Kiong-hí,,Kiong-hi2,,Kiong-hí,,恭喜,392
2808,Kiong7-san2-tong2,,Kiōng-sán-tóng,,Kiong7-san2-tong2,,Kiōng-sán-tóng,,共產黨,393
2809,Kiong7-ho5 tong2,,Kiōng-hô tóng,,Kiong7-ho5 tong2,,Kiōng-hô tóng,,共和黨,393
2810,Kiong7-ho5 tong2-oan5,,Kiōng-hô tóng-oân,,Kiong7-ho5 tong2-uan5,,Kiōng-hô tóng-uân,,共和黨員,393
2811,Kiong7-ho5-kok,,Kiōng-hô-kok,,Kiong7-ho5-kok,,Kiōng-hô-kok,,共和國,393
2812,Kip8-keh,,Ki̍p-keh,,Kip8-keh,,Ki̍p-keh,,及格、合格,393
2813,Kip8-te7,,Ki̍p-tē,,Kip8-te7,,Ki̍p-tē,,及第、及格,393
2814,Kip-tiunn2,,Kip-tiúⁿ,,Kip-tiunn2,,Kip-tiúnn,,級長,393
2815,Kip-seng3 e5 hui3-iam7,Kip-seng3 e5 hi3-iam7,Kip-sèng ê hùi-iām,Kip-sèng ê hì-iām,Kip-sing3 e5 hui3-iam7,Kip-sing3 e5 hi3-iam7,Kip-sìng ê huì-iām,Kip-sìng ê hì-iām,急性肺炎,393
2816,Kip-seng3 e5 tng5-a2-iam7,,Kip-sèng ê tn̂g-á-iām,,Kip-sing3 e5 tng5-a2-iam7,,Kip-sìng ê tn̂g-á-iām,,急性腸炎,394
2817,Kiu3,,Kiù,,Kiu3,,Kiù,,救,394
2818,Kiu3-se3-chu2,,Kiù-sè-chú,,Kiu3-se3-tsu2,,Kiù-sè-tsú,,救世主,394
2819,Kiu3-che3,,Kiù-chè,,Kiu3-tse3,,Kiù-tsè,,救濟,394
2820,Kiu3-che3-hoe7,,Kiù-chè-hōe,,Kiu3-tse3-hue7,,Kiù-tsè-huē,,救濟會,394
2821,Kiu5,,Kiû,,Kiu5,,Kiû,,求,394
2822,Kiu5,,Kiû,,Kiu5,,Kiû,,球,395
2823,Te7-kiu5,,Tē-kiû,,Te7-kiu5,,Tē-kiû,,地球,395
2824,Tian7-kiu5,,Tiān-kiû,,Tian7-kiu5,,Tiān-kiû,,電泡、電球,395
2825,bang7-kiu5,,bāng-kiû,,bang7-kiu5,,bāng-kiû,,網球,395
2826,Pang5-kiu5,,Pâng-kiû,,Pang5-kiu5,,Pâng-kiû,,棒球,395
2827,Na5-kiu5,,Nâ-kiû,,Na5-kiu5,,Nâ-kiû,,籃球,395
2828,Kiu5-siu5,,Kiû-siû,,Kiu5-siu5,,Kiû-siû,,仇讎,395
2829,Kiu2-kian3,,Kiú-kiàn,,Kiu2-kian3,,Kiú-kiàn,,好久沒見,395
2830,Kiu2-giong2,,Kiú-gióng,,Kiu2-giong2,,Kiú-gióng,,久仰,395
2831,Kiunn,,Kiuⁿ,,Kiunn,,Kiunn,,薑,395
2832,Kng,,Kng,,Kng,,Kng,,光亮,395
2833,Kng,,Kng,,Kng,,Kng,,抬（兩人以上）,395
2834,Kng2--khi2-lai5,,Kńg--khí-lâi,,Kng2--khi2-lai5,,Kńg--khí-lâi,,捲起來,396
2835,Kng,Kng-a2,Kng,Kng-á,Kng,Kng-a2,Kng,Kng-á,缸,396
2836,Chui2-kng,,Chúi-kng,,Tsui2-kng,,Tsuí-kng,,水缸,396
2837,Kng3,,Kǹg,,Kng3,,Kǹg,,鋼,396
2838,Ko3-kai2,,Kò-kái,,Ko3-kai2,,Kò-kái,,告解,396
2839,Pan7 ko3-kai2,,Pān kò-kái,,Pan7 ko3-kai2,,Pān kò-kái,,辦告解,396
2840,Ko-san-chok8,,Ko-san-cho̍k,,Ko-san-tsok8,,Ko-san-tso̍k,,高山族,397
2841,Ko-tiong,,Ko-tiong,,Ko-tiong,,Ko-tiong,,高中,397
2842,Ko-kang,,Ko-kang,,Ko-kang,,Ko-kang,,高工,397
2843,Ko-siang,,Ko-siang,,Ko-siang,,Ko-siang,,高商,397
2844,Ko-kian3,,Ko-kiàn,,Ko-kian3,,Ko-kiàn,,高見,397
2845,Ko-hiong5,,Ko-hiông,,Ko-hiong5,,Ko-hiông,,高雄,397
2846,Ko-le5-chhai3,,Ko-lê-chhài,,Ko-le5-tshai3,,Ko-lê-tshài,,高麗菜,397
2847,Ko3,,Kò,,Ko3,,Kò,,控告,397
2848,Ko5-ko5-tinn7,,Kô-kô-tīⁿ,,Ko5-ko5-tinn7,,Kô-kô-tīnn,,糾纏不休,397
2849,Koo5,,Kô͘,,Koo5,,Kôo,,貼,398
2850,Koo5-a2,,Kô͘-á,,Koo5-a2,,Kôo-á,,漿糊,398
2851,Koo2-goeh8,,Kó͘-goe̍h,,Koo2-gueh8,,Kóo-gue̍h,,個月,398
2852,Koo3-su7,,Kò͘-sū,,Koo3-su7,,Kòo-sū,,故事,398
2853,Kong2-koo3-su7,,Kóng-kò͘-sū,,Kong2-koo3-su7,,Kóng-kòo-sū,,講故事,398
2854,Koo2-chui,,Kó͘-chui,,Koo2-tsui,,Kóo-tsui,,可愛,399
2855,A2-koo,,Á-ko͘,,A2-koo,,Á-koo,,姑母,399
2856,Koo-tiunn7,,Ko͘-tiūⁿ,,Koo-tiunn7,,Koo-tiūnn,,姑丈,399
2857,Koo2,,Kó͘,,Koo2,,Kóo,,吹開、€分,399
2858,Koo2 chhek-a2,,Kó͘ chhek-á,,Koo2 tshik-a2,,Kóo tshik-á,,€穀,399
2859,Koo2-le7,,Kó͘-lē,,Koo2-le7,,Kóo-lē,,鼓勵,399
2860,Koo2-chinn2,,Kó͘-chíⁿ,,Koo2-tsinn2,,Kóo-tsínn,,井,399
2861,Koo-put-chiong,,Ko͘-put-chiong,,Koo-put-tsiong,,Koo-put-tsiong,,不得已,400
2862,Koo-ji5,,Ko͘-jî,,Koo-ji5,,Koo-jî,,孤兒,400
2863,Koo7-ji5-inn7,,Kō͘-jî-īⁿ,,Koo7-ji5-inn7,,Kōo-jî-īnn,,孤兒院,400
2864,Koo2-ke3,,Kó͘-kè,,Koo2-ke3,,Kóo-kè,,估價,400
2865,Koo3-su7,,Kò͘-sū,,Koo3-su7,,Kòo-sū,,顧,400
2866,Koo3 gin2-na2,,Kò͘ gín-ná,,Koo3 gin2-na2,,Kòo gín-ná,,看孩子,400
2867,Koo3 pinn7-lang5,,Kò͘ pīⁿ-lâng,,Koo3 pinn7-lang5,,Kòo pīnn-lâng,,看護病人,400
2868,Koo3 mng5,,Kò͘ mn̂g,,Koo3 mng5,,Kòo mn̂g,,看門,400
2869,Koo3 mng5 e5,,Kò͘ mn̂g ê,,Koo3 mng5 e5,,Kòo mn̂g ê,,守門的,400
2870,Koo3 tiam3,,Kò͘ tiàm,,Koo3 tiam3,,Kòo tiàm,,顧店,400
2871,Koo2,,Kó͘,,Koo2,,Kóo,,鼓,401
2872,Phah-koo2,,Phah-kó͘,,Phah-koo2,,Phah-kóo,,打鼓,401
2873,Koo2-tong2,,Kó͘-tóng,,Koo2-tong2,,Kóo-tóng,,古董,401
2874,Koo3-bun7,,Kò͘-būn,,Koo3-bun7,,Kòo-būn,,顧問,401
2875,Koa,,Koa,,Kua,,Kua,,歌,401
2876,Chhiu3-koa,,Chhiù-koa,,Tshiu3-kua,,Tshiù-kua,,唱歌,401
2877,Kok-koa,,Kok-koa,,Kok-kua,,Kok-kua,,國歌,401
2878,Chhiu3 seng3-li7 e5 koa,,Chhiù sèng-lī ê koa,,Tshiu3 sing3-li7 e5 kua,,Tshiù sìng-lī ê kua,,唱勝利的歌,401
2879,Koa3,,Kòa,,Kua3,,Kuà,,蓋,401
2880,Chit8 koa2,,Chi̍t kóa,,Tsit8 kua2,,Tsi̍t kuá,,一些,401
2881,Chit8 koa2 chheh,,Chi̍t kóa chheh,,Tsit8 kua2 tsheh,,Tsi̍t kuá tsheh,,一些書,401
2882,Chit8 koa2 heng5-li2,,Chi̍t kóa hêng-lí,,Tsit8 kua2 hing5-li2,,Tsi̍t kuá hîng-lí,,一些行李,402
2883,Chit8 koa2 lang5,,Chi̍t kóa lâng,,Tsit8 kua2 lang5,,Tsi̍t kuá lâng,,一些人,402
2884,Koann5,,Kôaⁿ,,Kuann5,,Kuânn,,寒、冷,402
2885,Koann5-thinn,,Kôaⁿ-thiⁿ,,Kuann5-thinn,,Kuânn-thinn,,冬天,402
2886,Koann5--tioh8,,Kôaⁿ--tio̍h,,Kuann5--tioh8,,Kuânn--tio̍h,,受冷、傷風,402
2887,Koann7,,Kōaⁿ,,Kuann7,,Kuānn,,提、€,402
2888,Koann7,,Kōaⁿ,,Kuann7,,Kuānn,,汗,402
2889,Koann,,Koaⁿ,,Kuann,,Kuann,,肝,402
2890,Ti-koann,,Ti-koaⁿ,,Ti-kuann,,Ti-kuann,,豬肝,403
2891,Koann2,,Kóaⁿ,,Kuann2,,Kuánn,,趕,403
2892,Koann2-kin2,,Kóaⁿ-kín,,Kuann2-kin2,,Kuánn-kín,,趕快、趕緊,403
2893,Koann-chha5,,Koaⁿ-chhâ,,Kuann-tsha5,,Kuann-tshâ,,棺木,403
2894,Koah,,Koah,,Kuah,,Kuah,,割,403
2895,Koah-tiu7-a2,,Koah-tiū-á,,Kuah-tiu7-a2,,Kuah-tiū-á,,割稻禾,403
2896,koai,,koai,,kuai,,kuai,,乖,403
2897,Koai-a2,,Koai-á,,Kuai-a2,,Kuai-á,,拐杖,404
2898,Koainn,,Koaiⁿ,,Kuainn,,Kuainn,,關、閉,404
2899,Koann-mng5,,Koaⁿ-mn̂g,,Kuann-mng5,,Kuann-mn̂g,,關門,404
2900,Koan5,,Koân,,Kuan5,,Kuân,,高,404
2901,Koan3,,Koàn,,Kuan3,,Kuàn,,罐,404
2902,Koan3-thau5,,Koàn-thâu,,Kuan3-thau5,,Kuàn-thâu,,罐頭,404
2903,Chit8 koan3 leng2-chui2,,Chi̍t koàn léng-chúi,,Tsit8 kuan3 ling2-tsui2,,Tsi̍t kuàn líng-tsuí,,一瓶冷水,404
2904,Chit8 koan3 gu5-leng,,Chi̍t koàn gû-leng,,Tsit8 kuan3 gu5-ling,,Tsi̍t kuàn gû-ling,,一瓶牛奶,404
2905,Chit8 koan3 e5-iu5,,Chi̍t koàn ê-iû,,Tsit8 kuan3 e5-iu5,,Tsi̍t kuàn ê-iû,,一罐鞋油,404
2906,Chit8 kaon3 ioh8-a2,,Chi̍t kaòn io̍h-á,,Tsit8 kaon3 ioh8-a2,,Tsi̍t kàon io̍h-á,,一瓶藥,405
2907,Chit8 koan3 beh8-a2-chiu2,,Chi̍t koàn be̍h-á-chiú,,Tsit8 kuan3 beh8-a2-tsiu2,,Tsi̍t kuàn be̍h-á-tsiú,,一罐啤酒,405
2908,Koan2,,Koán,,Kuan2,,Kuán,,管,405
2909,Koan2-hat,,Koán-hat,,Kuan2-hat,,Kuán-hat,,管轄,405
2910,Koan3-si3,,Koàn-sì,,Kuan3-si3,,Kuàn-sì,,慣於,405
2911,Chin m7 koan3-si3,,Chin m̄ koàn-sì,,Tsin m7 kuan3-si3,,Tsin m̄ kuàn-sì,,不慣於,405
2912,Koan-soe3,,Koan-sòe,,Kuan-sue3,,Kuan-suè,,關稅,406
2913,Koan2-li2,,Koán-lí,,Kuan2-li2,,Kuán-lí,,管理,406
2914,Koan-he7,,Koan-hē,,Kuan-he7,,Kuan-hē,,關係,406
2915,Koan5-sian2,,Koân-sián,,Kuan5-sian2,,Kuân-sián,,權洗,406
2916,Koan7,,Koān,,Kuan7,,Kuān,,縣,406
2917,Tai5-pak koan7,,Tâi-pak koān,,Tai5-pak kuan7,,Tâi-pak kuān,,台北縣,406
2918,Tho5-hng5 koan7,,Thô-hn̂g koān,,Tho5-hng5 kuan7,,Thô-hn̂g kuān,,桃園縣,406
2919,Gi5-lan5 koan7,,Gî-lân koān,,Gi5-lan5 kuan7,,Gî-lân kuān,,宜蘭縣,407
2920,Sin-tek koan7,,Sin-tek koān,,Sin-tik kuan7,,Sin-tik kuān,,新竹縣,407
2921,Biau5-lek8 koan7,,Biâu-le̍k koān,,Biau5-lik8 kuan7,,Biâu-li̍k kuān,,苗栗縣,407
2922,Tai5-tiong koan7,,Tâi-tiong koān,,Tai5-tiong kuan7,,Tâi-tiong kuān,,台中縣,407
2923,Chiong-hoa3 koan7,,Chiong-hòa koān,,Tsiong-hua3 kuan7,,Tsiong-huà kuān,,彰化縣,407
2924,Lam5-tau5 koan7,,Lâm-tâu koān,,Lam5-tau5 kuan7,,Lâm-tâu kuān,,南投縣,407
2925,Hun5-lim5 koan7,,Hûn-lîm koān,,Hun5-lim5 kuan7,,Hûn-lîm kuān,,雲林縣,407
2926,Ka-gi7 koan7,,Ka-gī koān,,Ka-gi7 kuan7,,Ka-gī kuān,,嘉義縣,407
2927,Hoa-lian5 koan7,,Hoa-liân koān,,Hua-lian5 kuan7,,Hua-liân kuān,,花蓮縣,407
2928,Tai5-tang koan7,,Tâi-tang koān,,Tai5-tang kuan7,,Tâi-tang kuān,,台東縣,407
2929,Tai5-lam5 koan7,,Tâi-lâm koān,,Tai5-lam5 kuan7,,Tâi-lâm kuān,,台南縣,407
2930,Ko-hiong5 koan7,,Ko-hiông koān,,Ko-hiong5 kuan7,,Ko-hiông kuān,,高雄縣,407
2931,Pin5-tong koan7,,Pîn-tong koān,,Pin5-tong kuan7,,Pîn-tong kuān,,屏東縣,407
2932,Phinn5-oo5 koan7,,Phîⁿ-ô͘ koān,,Phinn5-oo5 kuan7,,Phînn-ôo kuān,,澎湖縣,407
2933,Koat-teng7,,Koat-tēng,,Kuat-ting7,,Kuat-tīng,,決定,407
2934,Koat-sim,,Koat-sim,,Kuat-sim,,Kuat-sim,,決心,408
2935,Koat-i3,,Koat-ì,,Kuat-i3,,Kuat-ì,,決意,408
2936,Koe2-chi2,,Kóe-chí,,Kue2-tsi2,,Kué-tsí,,水果,408
2937,Koe2-chi2 chiap,,Kóe-chí chiap,,Kue2-tsi2 tsiap,,Kué-tsí tsiap,,水果汁,408
2938,Koe3,,Kòe,,Kue3,,Kuè,,過,408
2939,Koe3-ni5,,Kòe-nî,,Kue3-ni5,,Kuè-nî,,過年,408
2940,Koe3-ke3,Hoe7-ke3,Kòe-kè,Hōe-kè,Kue3-ke3,Hue7-ke3,Kuè-kè,Huē-kè,會計,408
2941,Koe3-ong2,,Kòe-óng,,Kue3-ong2,,Kuè-óng,,逝世,408
2942,Koe,,Koe,,Kue,,Kue,,瓜,409
2943,Bok8-koe,,Bo̍k-koe,,Bok8-kue,,Bo̍k-kue,,木瓜,409
2944,Si-koe,,Si-koe,,Si-kue,,Si-kue,,西瓜,409
2945,Chhi3-koe,,Chhì-koe,,Tshi3-kue,,Tshì-kue,,胡瓜,409
2946,Tang-koe,,Tang-koe,,Tang-kue,,Tang-kue,,冬瓜,409
2947,Kim-koe,,Kim-koe,,Kim-kue,,Kim-kue,,南瓜,409
2948,Koe3-sit,,Kòe-sit,,Kue3-sit,,Kuè-sit,,過失,409
2949,Koe3-mi5,,Kòe-mî,,Kue3-mi5,,Kuè-mî,,過夜,409
2950,Koe3-to7,,Kòe-tō,,Kue3-to7,,Kuè-tō,,過度,409
2951,Koe3-khi3,,Kòe-khì,,Kue3-khi3,,Kuè-khì,,過去,410
2952,Koh-khah,,Koh-khah,,Koh-khah,,Koh-khah,,更,410
2953,Koh-khah ho2,,Koh-khah hó,,Koh-khah ho2,,Koh-khah hó,,更好,410
2954,Koh,Koh-chai3,Koh,Koh-chài,Koh,Koh-tsai3,Koh,Koh-tsài,再,410
2955,Koh-chai3 kong2,,Koh-chài kóng,,Koh-tsai3 kong2,,Koh-tsài kóng,,再說,410
2956,koh chit8 pai2,,koh chi̍t pái,,koh tsit8 pai2,,koh tsi̍t pái,,再一次,410
2957,Toa7 koh iong2,,Tōa koh ióng,,Toa7 koh iong2,,Toā koh ióng,,大又強,410
2958,Koh-khi3,,Koh-khì,,Koh-khi3,,Koh-khì,,再過去,411
2959,Koh-lai5,,Koh-lâi,,Koh-lai5,,Koh-lâi,,再來,412
2960,Koh-theh8,,Koh-the̍h,,Koh-theh8,,Koh-the̍h,,再拿,413
2961,Koh-khah,,Koh-khah,,Koh-khah,,Koh-khah,,無論怎麼...也...,413
2962,Kok-bin5,,Kok-bîn,,Kok-bin5,,Kok-bîn,,國民,414
2963,Kok-bin5-hak8-hau7,,Kok-bîn-ha̍k-hāu,,Kok-bin5-hak8-hau7,,Kok-bîn-ha̍k-hāu,,國民學校,414
2964,Kok-bin5-tong2,,Kok-bîn-tóng,,Kok-bin5-tong2,,Kok-bîn-tóng,,國民黨,414
2965,Kok-bun5,,Kok-bûn,,Kok-bun5,,Kok-bûn,,國文,414
2966,Kok-gi2,,Kok-gí,,Kok-gi2,,Kok-gí,,國語,414
2967,Kok-ka,,Kok-ka,,Kok-ka,,Kok-ka,,國家,414
2968,Kok-ki5,,Kok-kî,,Kok-ki5,,Kok-kî,,國旗,414
2969,Kok-lang5,,Kok-lâng,,Kok-lang5,,Kok-lâng,,各人,414
2970,Kong2,,Kóng,,Kong2,,Kóng,,說、講,414
2971,Kong2-oe7,,Kóng-oē,,Kong2-ue7,,Kóng-uē,,講話,415
2972,Kong3,,Kòng,,Kong3,,Kòng,,打、擊,415
2973,Kong3-cheng,,Kòng-cheng,,Kong3-tsing,,Kòng-tsing,,打鐘,415
2974,Kong3 tian7-po3,,Kòng tiān-pò,,Kong3 tian7-po3,,Kòng tiān-pò,,打電報,415
2975,Kong,,Kong,,Kong,,Kong,,公,415
2976,Kong-hng5,,Kong-hn̂g,,Kong-hng5,,Kong-hn̂g,,公園,415
2977,Kong-li2,,Kong-lí,,Kong-li2,,Kong-lí,,公里,415
2978,Kong-to7,,Kong-tō,,Kong-to7,,Kong-tō,,公道,415
2979,Kong-chhioh,,Kong-chhioh,,Kong-tshioh,,Kong-tshioh,,公尺,415
2980,Kong3-thui5-a2,,Kòng-thûi-á,,Kong3-thui5-a2,,Kòng-thuî-á,,鎚子,415
2981,Kong2-poo3 tian7-tai5,,Kóng-pò͘ tiān-tâi,,Kong2-poo3 tian7-tai5,,Kóng-pòo tiān-tâi,,廣播電台,415
2982,Kong2 peh8-chhat8,,Kóng pe̍h-chha̍t,,Kong2 peh8-tshat8,,Kóng pe̍h-tsha̍t,,說謊,415
2983,Kong-eng5,,Kong-êng,,Kong-ing5,,Kong-îng,,光榮,416
2984,Kong2-put-peng5,,Kóng-put-pêng,,Kong2-put-ping5,,Kóng-put-pîng,,發牢騷,416
2985,Kong-ke,,Kong-ke,,Kong-ke,,Kong-ke,,共有,416
2986,A-kong,,A-kong,,A-kong,,A-kong,,祖父,416
2987,Goa7-kong,,Gōa-kong,,Gua7-kong,,Guā-kong,,外祖父,416
2988,Lai7-kong,,Lāi-kong,,Lai7-kong,,Lāi-kong,,內祖父,416
