id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
22871,n̂g-kim-chu,ng5-kim-chu,n̂g-kim-tsu,ng5-kim-tsu,"N ","châng, lúi",,黃金珠,""" golden pearl"", Carpesium acutum ",
22872,n̂g-kim-lu̍t,ng5-kim-lut8,n̂g-kim-lu̍t,ng5-kim-lut8,"N ",,,金科玉律,The Golden Rule,
22873,n̂g-koe,ng5-koe,n̂g-kue,ng5-kue,"N ",tiâu,,黃瓜,"cucumber, Cucumis sativus (syn chhi3-koe) ",
22874,n̂g-koe,ng5-koe,n̂g-kue,ng5-kue,"N ",bé,,小黃魚,"a kind of yellow croaker, Psedosciaena polyactis ",
22875,n̂g-koe-á,ng5-koe-a2,n̂g-kue-á,ng5-kue-a2,"N ",châng,,香瓜,"musk melon, Cucumis melo",
22876,n̂g-koe-hiong,ng5-koe-hiong,n̂g-kue-hiong,ng5-kue-hiong,"N ",châng,,黃瓜香,"mountain flat-lean, Cassia nodosa ",
22877,n̂g-kok-cheng,ng5-kok-cheng,n̂g-kok-tsing,ng5-kok-tsing,"N ",châng,,黃殼精,"yellow-eyed grass, Xyris pauciflora ",
22878,n̂g-kú,ng5-ku2,n̂g-kú,ng5-ku2,"N ",châng,,黃櫸,"yellow basket-willow, Engelhardtia roxburgtriana ",
22879,n̂g-kun,ng5-kun,n̂g-kun,ng5-kun,"N ",châng,,花椒,"glittering pricklyash, Fagara nitida ",
22880,n̂g-kha-u̍t,ng5-kha-ut8,n̂g-kha-u̍t,ng5-kha-ut8,"N ",chiah,,黃足鷸,"eastern grey sandpiper, Asiatic wandering tattler, Tringa incana brevipes ",
22881,n̂g-kháu,ng5-khau2,n̂g-kháu,ng5-khau2,"N ",bé,,小黃魚,"a kind of yellow croaker, Pseudosciaena polyactis",
22882,n̂g-lêng,ng5-leng5,n̂g-lîng,ng5-ling5,"N ",chiah,,黃鶺鴒,"eastern grey wagtail, Motacilla cinerea caspica ",
22883,n̂g-lêng-bé,ng5-leng5-be2,n̂g-lîng-bé,ng5-ling5-be2,"N ",châng,,龍牙草,"Agrimonia pilosa ",
22884,n̂g-lêng-sim,ng5-leng5-sim,n̂g-lîng-sim,ng5-ling5-sim,"N ",châng,,黃龍參,Blumea lanceolaris,
22885,n̂g-mô͘-lō͘,ng5-moo5-loo7,n̂g-môo-lōo,ng5-moo5-loo7,"N ",chiah,,黃鷺,"Indian cattle egret, Bubulcus ibis coromandus ",
22886,n̂g-môa,ng5-moa5,n̂g-muâ,ng5-mua5,"N ",châng,,黃麻,"corchorus, a plant the fiber of which are used to make rope, Corchorus capsularis ",
22887,n̂g-môa-kut,ng5-moa5-kut,n̂g-muâ-kut,ng5-mua5-kut,"N ",ki,,黃麻桿,"corchorus stalk, peeled and dried",
22888,n̂g-ong,ng5-ong,n̂g-ong,ng5-ong,N Orn,chiah,,黃眉黃鶲,"Formosan blue flycatcher, Muscicapa vivida vivida ",
22889,n̂g-pan,ng5-pan,n̂g-pan,ng5-pan,N Anat,,,黃斑,Macula lutea,
22890,n̂g-pan-chhun-chhiūⁿ,ng5-pan-chhun-chhiunn7,n̂g-pan-tshun-tshiūnn,ng5-pan-tshun-tshiunn7,N Ent,chiah,,黃斑椿象,"a bug that attacks several kinds of tree, Erthesina fullo ",
22891,n̂g-pan-pián-hok-ngô͘,ng5-pan-pian2-hok-ngoo5,n̂g-pan-pián-hok-ngôo,ng5-pan-pian2-hok-ngoo5,N Ent,chiah,,黃斑蝙蝠蛾,"a moth that attacks several kinds of tree, Phassus signifer ",
22892,n̂g-peh,ng5-peh,n̂g-peh,ng5-peh,"N ",châng,,黃柏,"Taiwan cork tree, Phellodendron wilsonii ",
22893,n̂g-peh,ng5-peh,n̂g-peh,ng5-peh,"N ",châng,,十大功勞,"Japanese mahonia, Mahonia japonica",
22894,n̂g-pe̍h,ng5-peh8,n̂g-pe̍h,ng5-peh8,"SV ",,,蒼白,sickly pale (face),
22895,n̂g-pek-lô,ng5-pek-lo5,n̂g-pik-lô,ng5-pik-lo5,"N ",chiah,,黃鸝,"eastern black-naped oriole, Oriolus chinensis diffusus ",
22896,n̂g-píⁿ-khoat,ng5-pinn2-khoat,n̂g-pínn-khuat,ng5-pinn2-khuat,"N ",châng,,黃柄蕨,"""yellow branch"" fern, Bolbitis contaminans ",
22897,n̂g-poe-thâng,ng5-poe-thang5,n̂g-pue-thâng,ng5-pue-thang5,"N ",chiah,,黃飛蟲,"brown plant-nopper, Nilaparvata oryzae ",
22898,n̂g-phang,ng5-phang,n̂g-phang,ng5-phang,"N ",chiah,,黃蜂,"wasp, yallow-jacket",
22899,n̂g-phê/phôe-su,ng5-phe5/phoe5-su,n̂g-phê/phuê-su,ng5-phe5/phue5-su,"N ",pún,,黃皮書,yellow book (international record of vaccinations and innoculations),
22900,n̂g-phî,ng5-phi5,n̂g-phî,ng5-phi5,"N ","châng, lia̍p",,黃皮,"wampee, Clausena lansium ",
22901,n̂g-pho͘,ng5-phoo,n̂g-phoo,ng5-phoo,"N ",bé,,古氏土魚工,"Kuhl's sting-ray, blue-spotted sing-ray, Dasyatis kuhlii ",
22902,n̂g-sē-chúi,ng5-se7-chui2,n̂g-sē-tsuí,ng5-se7-tsui2,"N ",,,黃水,thin fluid from a wound or sore,
22903,n̂g-sek,ng5-sek,n̂g-sik,ng5-sik,"N ",,,黃色,yellow color,
22904,n̂g-sek,ng5-sek,n̂g-sik,ng5-sik,"N ",châng,,稷黍,"broom-corn millet, Panicum miliaeceum",
22905,n̂g-sek-la̍h,ng5-sek-lah8,n̂g-sik-la̍h,ng5-sik-lah8,N Ich,bé,,黃錫鯛,"a fish of the seabream family, Sparus sarba",
22906,n̂g-sî,ng5-si5,n̂g-sî,ng5-si5,"N ",bé,,烏魚宗,"black seabream, Sparus latus",
22907,n̂g-siān,ng5-sian7,n̂g-siān,ng5-sian7,"N ",bé,,魚單魚,"mud eel, rice-field eel, yellow eel, Fluta alba",
22908,n̂g-siān-tîn,ng5-sian7-tin5,n̂g-siān-tîn,ng5-sian7-tin5,"N ",châng,,黃鱔藤,"Formosan supplejack, rattan vine, Berchemia formosana",
22909,n̂g-sim-á,ng5-sim-a2,n̂g-sim-á,ng5-sim-a2,"N ","châng, lia̍p",,黃心肺,"coast persimmon, Diospyros inaritima",
22910,n̂g-sim-á,ng5-sim-a2,n̂g-sim-á,ng5-sim-a2,"N ",châng,,山漆,"wax tree, Rhus seccedanea ",
22911,n̂g-sió-bú-ngô͘,ng5-sio2-bu2-ngoo5,n̂g-sió-bú-ngôo,ng5-sio2-bu2-ngoo5,N Ent,chiah,,黃小舞蛾,"a moth that attacks the castor bean and cotton plants, Stathmopoda theoris",
22912,n̂g-sng,ng5-sng,n̂g-sng,ng5-sng,"SV ",,,黃酸,"pale and thin, yellow and emaciated",
22913,n̂g-soaⁿ-chhiok,ng5-soann-chhiok,n̂g-suann-tshiok,ng5-suann-tshiok,N Orn,chiah,,黃山雀,"Formosan yellow tit, Parus holsti",
22914,n̂g-sóaⁿ,ng5-soann2,n̂g-suánn,ng5-suann2,"N ",bé,,金線紅姑魚,"a fish of the seabream family, Nemipterus virqatus",
22915,n̂g-táⁿ(pēⁿ/pīⁿ),ng5-tann2(penn7/pinn7),n̂g-tánn(pēnn/pīnn),ng5-tann2(penn7/pinn7),N Med,,,黃疸病,"yellow-jaundice, icterus",
22916,n̂g-tàn,ng5-tan3,n̂g-tàn,ng5-tan3,"N ",chiah,,金巫鳥,"Ussulian yellow-breasted bunting, Emberiza aureola ornata",
22917,n̂g-tiau-hî,ng5-tiau-hi5,n̂g-tiau-hî,ng5-tiau-hi5,"N ",bé,,齊氏土魚工,"a kind of sting-ray, Dasyatis gerrardi ",
