id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
244,àm-ba̍t,am3-bat8,àm-ba̍t,am3-bat8,"SV ",,,秘密,secret,
245,àm-bô͘,am3-boo5,àm-bôo,am3-boo5,"V ",,,陰謀,conspire,
246,àm-bô͘,am3-boo5,àm-bôo,am3-boo5,"N ",,,陰謀,conspiracy,
247,àm-bo̍k-bo̍k,am3-bok8-bok8,àm-bo̍k-bo̍k,am3-bok8-bok8,"Svph ",,,黑暗,very dark,
248,àm-bong-sa,am3-bong-sa,àm-bong-sa,am3-bong-sa,"V ",,,摸索,grope (in darkness),
249,àm-chēⁿ/ chīⁿ,am3-chenn7/ chinn7,àm-tsēnn/ tsīnn,am3-tsenn7/ tsinn7,"Smod, pmod ",,,暗中,secretly,
250,àm-chō͘,am3-choo7,àm-tsōo,am3-tsoo7,"V ",,,暗中幫助,secretly help,
251,àm-chông,am3-chong5,àm-tsông,am3-tsong5,"V ",,,暗藏,hide (sthg),
252,àm-gú,am3-gu2,àm-gú,am3-gu2,"N ",,,暗語,"secret language, code",
253,àm-gú,am3-gu2,àm-gú,am3-gu2,"N ",,,暗語,password,
254,àm-hō,am3-ho7,àm-hō,am3-ho7,"N ",,,暗號,secret sign,
255,àm-hoe-koan-kek,am3-hoe-koan-kek,àm-hue-kuan-kik,am3-hue-kuan-kik,"N ",chiah,,黑翅山椒鳥,"black-winged cuckoo-shrike, Coracina melaschistos avensis",
256,àm-hông-lián-ong-eng,am3-hong5-lian2-ong-eng,àm-hông-lián-ong-ing,am3-hong5-lian2-ong-ing,"N ",chiah,,棕面鶯,"Formosan yellow-bellied flycatcher warbler, Seicerus albogularis fulviacies",
257,àm-kè,am3-ke3,àm-kè,am3-ke3,"N ",,,暗計,secret plot,
258,àm-kì,am3-ki3,àm-kì,am3-ki3,"V ",,,默記,memorize,
259,àm-kong-chiáu,am3-kong-chiau2,àm-kong-tsiáu,am3-kong-tsiau2,"N ",,,貓頭鷹,owl,
260,àm-kong-chiáu,am3-kong-chiau2,àm-kong-tsiáu,am3-kong-tsiau2,N fig,,,夜貓子,person who stays up late,
261,àm-khang,am3-khang,àm-khang,am3-khang,"N ",,,暗溝,"dark and / or hidden tunnel, passageway, pipe, etc",
262,àm-khò,am3-kho3,àm-khò,am3-kho3,N RC,,,晚課,"night prayers, night study",
263,àm-liām,am3-liam7,àm-liām,am3-liam7,"V ",,,默記,memorize,
264,àm-liām,am3-liam7,àm-liām,am3-liam7,"V ",,,默記,repeat from memory,
265,àm-mê/mî,am3-me5/mi5,àm-mê/mî,am3-me5/mi5,"Nt ",,,夜晚,at night,
266,àm-pâng,am3-pang5,àm-pâng,am3-pang5,"N ",,,暗房,dimly lighted bedroom,
267,àm-pn̄g,am3-png7,àm-pn̄g,am3-png7,"N ",,,晚餐,"dinner, supper (evening meal, cf am3-tng3)",
268,àm-pō͘,am3-poo7,àm-pōo,am3-poo7,"N ",,,暗計,secret plot,
269,àm-sat,am3-sat,àm-sat,am3-sat,"V ",,,暗殺,assassinate,
270,àm-sat,am3-sat,àm-sat,am3-sat,"N ",,,暗殺,assassination,
271,àm-sek,am3-sek,àm-sik,am3-sik,"N ",,,暗室,(photographic) darkroom,
272,àm-sî,am3-si5,àm-sî,am3-si5,"Nt ",,,晚上,"night time, the evening",
273,àm-sī,am3-si7,àm-sī,am3-si7,"V, N ",,,暗示,hint,
274,àm-siōng,am3-siong7,àm-siōng,am3-siong7,"V ",,,背誦,recite,
275,àm-siōng,am3-siong7,àm-siōng,am3-siong7,"N ",,,背誦,recitation,
276,àm-siūⁿ,am3-siunn7,àm-siūnn,am3-siunn7,"V ",,,暗想,meditate silently,
277,àm-só,am3-so2,àm-só,am3-so2,"N ",,,暗鎖,hidden or secret lock,
278,àm-soàn,am3-soan3,àm-suàn,am3-suan3,"V ",,,暗算,plot in secret,
279,àm-soàn,am3-soan3,àm-suàn,am3-suan3,"N ",,,暗算,secret plot,
280,àm-ta,am3-ta,àm-ta,am3-ta,"N ",,,暗礁,submerged rock or reef,
281,àm-tǹg,am3-tng3,àm-tǹg,am3-tng3,"N ",,,晚飯,"dinner, supper (evening meal)",
282,àm-thàm,am3-tham3,àm-thàm,am3-tham3,"N ",ê,,暗探,detective,
283,àm-thâu-á,am3-thau5-a2,àm-thâu-á,am3-thau5-a2,"Nt ",,,傍晚,"dusk, nightfall",
284,ām,am7,ām,am7,"SV ",,,繁茂,dense and luxuriant,
285,ām,am7,ām,am7,"SV ",,,豔,"glamorous, luscious (woman)",
286,ām (-á-kún),am7 (-a2-kun2),ām (-á-kún),am7 (-a2-kun2),"N ",,,脖子,neck,
287,ām-bôe (-á),am7-boe5 (-a2),ām-buê (-á),am7-bue5 (-a2),"N ",chiah,,蝌蚪,"tadpole, polliwog",
288,ām-kui,am7-kui,ām-kui,am7-kui,"N ",,,膆囊,crop (of a bird),
289,ām-kún,am7-kun2,ām-kún,am7-kun2,"N ",,,脖子,neck,
290,ām-môe/mûi-á,am7-moe5/mui5-a2,ām-muê/muî-á,am7-mue5/mui5-a2,"N ","bóe, chiah",,蝌蚪,tadpole,
291,ām-niá,am7-nia2,ām-niá,am7-nia2,"N ",ê,,領子,collar,
292,ām-se-á,am7-se-a2,ām-se-á,am7-se-a2,"N ",niá,,涎布,bib,
293,ām-sê-tāu,am7-se5-tau7,ām-sê-tāu,am7-se5-tau7,"N ",châng,,頷垂豆,"Chinese apes-earring, Pithecolobium lucidum",
294,"An, an","An, an","An, an","An, an"," ",,,,,
295,an,an,an,an,"V ",,,安置,place (an ancestral tablet) in position,
296,an,an,an,an,N Chem,,,氨,"ammonia, NH3",
297,an,an,an,an,"V ",,,鍍,"gild, plate (with metal), overlay (usually with gold)",
298,an-bîn,an-bin5,an-bîn,an-bin5,"V ",,,安眠,"sleep well, sleep peacefully",
299,an-bîn,an-bin5,an-bîn,an-bin5,"N ",,,安眠,pleasant sleep,
300,an-bîn,an-bin5,an-bîn,an-bin5,"I ",,,安眠,Good-night! (said to house guests on retiring),
301,an-bîn-io̍h,an-bin5-ioh8,an-bîn-io̍h,an-bin5-ioh8,"N ",lia̍p,,安眠藥,sleeping pill,
302,an-bú,an-bu2,an-bú,an-bu2,"V ",,,安撫,"calm (people), quieten (a crowd)",
303,an-bú,an-bu2,an-bú,an-bu2,"N ",,,安撫,calming or quietening (people),
304,an-chēng,an-cheng7,an-tsīng,an-tsing7,"SV ",,,安靜,"quiet, silent",
305,an-chēng,an-cheng7,an-tsīng,an-tsing7,"N ",,,安靜,"peace, quietness",
306,an-choân,an-choan5,an-tsuân,an-tsuan5,"SV ",,,安全,safe,
307,an-choân,an-choan5,an-tsuân,an-tsuan5,"N ",,,安全,security,
308,an-choân-bō,an-choan5-bo7,an-tsuân-bō,an-tsuan5-bo7,"N ",téng,,安全帽,safety helmet,
309,an-choân-kám,an-choan5-kam2,an-tsuân-kám,an-tsuan5-kam2,"N ",,,安全感,sense of security,
310,an-choân-kî,an-choan5-ki5,an-tsuân-kî,an-tsuan5-ki5,"N ",,,安全期,safe period for intercourse (rhythm method),
311,an-choân-pín-chiam,an-choan5-pin2-chiam,an-tsuân-pín-tsiam,an-tsuan5-pin2-tsiam,"N ",ki,,安全別針,safety pin,
312,an-choân-tòa,an-choan5-toa3,an-tsuân-tuà,an-tsuan5-tua3,"N ",tiâu,,安全帶,safety-belt,
313,an-chòng,an-chong3,an-tsòng,an-tsong3,"V ",,,安葬,bury,
314,an-chòng,an-chong3,an-tsòng,an-tsong3,"N ",,,安葬,burial,
315,an-chhah,an-chhah,an-tshah,an-tshah,"V ",,,安置,"assign (to a particular class or barracks, etc)",
316,an-e̍k,an-ek8,an-i̍k,an-ik8,"SV ",,,安逸,at ease (var an-iat8 more common in Taiwan),
317,an-hioh,an-hioh,an-hioh,an-hioh,"V, N ",,,安息(歇),"rest, repose",
318,An-hioh-ji̍t,An-hioh-jit8,An-hioh-ji̍t,An-hioh-jit8,Nt Bib,,,安息日,Sabbath Day,
319,An-hioh-nî,An-hioh-ni5,An-hioh-nî,An-hioh-ni5,Nt Bib,,,安息年,Jubilee Year,
320,an-hūn,an-hun7,an-hūn,an-hun7,"VO ",,,安份,be content with one's lot,
321,an-iâⁿ,an-iann5,an-iânn,an-iann5,"VO ",,,紮營,encamp,
322,an-ia̍t,an-iat8,an-ia̍t,an-iat8,"SV ",,,安逸,"at ease, prosperous",
323,an-jiân,an-jian5,an-jiân,an-jian5,"Pmod ",,,安然,peacefully,
324,an-ka-hùi,an-ka-hui3,an-ka-huì,an-ka-hui3,"N ",,,安家費,military family allowance,
325,an-ki-sng,an-ki-sng,an-ki-sng,an-ki-sng,N Biol,,,胺基酸,amino-acid,
326,an-ku,an-ku,an-ku,an-ku,"V ",,,安居,dwell in peace,
327,an-khong,an-khong,an-khong,an-khong,N Ich,bé,,鮟鱇,"fishing frog, Lophiomus setigerus",
328,an-lêng,an-leng5,an-lîng,an-ling5,"SV ",,,安寧,"quiet, peaceful",
329,an-lêng,an-leng5,an-lîng,an-ling5,"N ",,,安寧,"quiet, peace",
330,an-lêng Mî-sat,an-leng5 Mi5-sat,an-lîng Mî-sat,an-ling5 Mi5-sat,N RC,,,安靈彌撒,Requiem Mass,
331,an-lo̍k,an-lok8,an-lo̍k,an-lok8,"SV ",,,安樂,"comfortable, peaceful",
332,an-pâi,an-pai5,an-pâi,an-pai5,"V ",,,安排,"arrange, dispose",
333,an-pâi,an-pai5,an-pâi,an-pai5,"N ",,,安排,"arrangement, disposal",
334,an-pêng-hî,an-peng5-hi5,an-pîng-hî,an-ping5-hi5,"N ",bé,,蝨目魚,"milk-fish, white mullet, Chanos chanos",
335,an-sek-nî,an-sek-ni5,an-sik-nî,an-sik-ni5,N RC,,,安息年,"seventh year, year of rest",
336,an-sek-nî,an-sek-ni5,an-sik-nî,an-sik-ni5,N RC,,,安息年,year of Jubilee,
337,an-siat,an-siat,an-siat,an-siat,"V ",,,安設,set up,
338,an-sim,an-sim,an-sim,an-sim,"SV ",,,安心,"tranquil in spirit, peaceful, relaxed",
339,an-sin,an-sin,an-sin,an-sin,"VO ",,,生活安定,live in peace,
340,an-sîn,an-sin5,an-sîn,an-sin5,"VO ",,,鎮定,"rest the mind or spirit, relax",
341,an-sîn-io̍h,an-sin5-ioh8,an-sîn-io̍h,an-sin5-ioh8,"N ",,,鎮定劑,"narcotic, tranquillizer",
342,an-tah,an-tah,an-tah,an-tah,"V ",,,安排,arrange,
343,an-tah,an-tah,an-tah,an-tah,"N ",,,安排,arranging,
344,An-tek-lia̍t,An-tek-liat8,An-tik-lia̍t,An-tik-liat8,Np Bib,,,安德烈,Andrew,
345,an-tēng,an-teng7,an-tīng,an-ting7,"V ",,,安定,"secure, stabilize",
346,an-tēng,an-teng7,an-tīng,an-ting7,"SV ",,,安定,"secure, stable",
347,an-tēng,an-teng7,an-tīng,an-ting7,"N ",,,安定,"security, stability",
348,an-tì,an-ti3,an-tì,an-ti3,"V ",,,安置,"set in place or position, collocate, install, set (a person's remains) in state",
349,an-tiāⁿ,an-tiann7,an-tiānn,an-tiann7,"V ",,,安定,"secure, stabilize",
350,an-tiāⁿ,an-tiann7,an-tiānn,an-tiann7,"SV ",,,安定,"secure, stable",
351,an-tiāⁿ,an-tiann7,an-tiānn,an-tiann7,"N ",,,安定,"security, stability",
352,an-thai,an-thai,an-thai,an-thai,"VO ",,,安胎,prevent abortion (by magic or medicine),
353,an-uì,an-ui3,an-uì,an-ui3,"V ",,,安慰,"comfort, console",
354,an-uì,an-ui3,an-uì,an-ui3,"N ",,,安慰,"comfort, consolation",
355,An-uì-chiá,An-ui3-chia2,An-uì-tsiá,An-ui3-tsia2,N Bib RC,,,安慰者,"The Paraclete (John 14:16, cf Po2-hui7-su)",
356,an-ún,an-un2,an-ún,an-un2,"SV ",,,安穩,"safe, secure",
357,án-chím,an2-chim2,án-tsím,an2-tsim2,"Na ",,,嬸母,"aunt (father's younger brother's wife, cf a-chim2)",
358,án-ni / ne / nih,an2-ni / ne / nih,án-ni / ne / nih,an2-ni / ne / nih,"Pmod ",,,這樣,"thus, in this manner",
359,án-ni / ne / nih,an2-ni / ne / nih,án-ni / ne / nih,an2-ni / ne / nih,"Cd ",,,這樣,"then, in that case",
360,án-ni / ne / nih,an2-ni / ne / nih,án-ni / ne / nih,an2-ni / ne / nih,"Clsub ",,,這樣,"thus, so",
361,án-ni-siⁿ,an2-ni-sinn,án-ni-sinn,an2-ni-sinn,"Cd ",,,這樣子,"then, in that case",
362,án-niá,an2-nia2,án-niá,an2-nia2,"Na ",,,媽媽,mama,
363,án-niâ,an2-nia5,án-niâ,an2-nia5,"Na ",,,娘,mama,
364,án-pâ,an2-pa5,án-pâ,an2-pa5,"Na ",,,爹,daddy,
365,án-pē,an2-pe7,án-pē,an2-pe7,"Na ",,,爹,daddy,
366,án-sun,an2-sun,án-sun,an2-sun,"Na ",,,孫子,grandson,
367,án-tia,an2-tia,án-tia,an2-tia,"Na ",,,爹,daddy,
368,àn,an3,àn,an3,"V ",,,按,"plan to use (money, persons, etc)",
369,àn,an3,àn,an3,"CV ",,,按,according to,
370,àn,an3,àn,an3,"CV ",,,按,"by (a road, direction, etc)",
371,àn,an3,àn,an3,"N ",tiâu,,案,a judicial case,
372,àn-chái-iūⁿ,an3-chai2-iunn7,àn-tsái-iūnn,an3-tsai2-iunn7,"Pmod ",,,如何,how? in what way?,
373,àn-chêng,an3-cheng5,àn-tsîng,an3-tsing5,"N ",,,案情,circumstances of a lawsuit,
374,àn-chiàu,an3-chiau3,àn-tsiàu,an3-tsiau3,"CV ",,,按照,according to,
375,àn-chóaⁿ,an3-choann2,àn-tsuánn,an3-tsuann2,"Pmod ",,,怎樣,"how? (manner, means)",
376,àn-chóaⁿ,an3-choann2,àn-tsuánn,an3-tsuann2,"Smod ",,,為什麼,why? how come? (reason),
377,àn-chóaⁿ,an3-choann2,àn-tsuánn,an3-tsuann2,"SV ",,,怎麼樣,to what degree? how much? (extent),
378,àn-chóaⁿ,an3-choann2,àn-tsuánn,an3-tsuann2,"Vsub ",,,怎麼辦,"""do"" <I na7 bo5 lai5, li2 beh an3-choaN2: If he doesn't come, what will you do?>",
379,àn-chóaⁿ,an3-choann2,àn-tsuánn,an3-tsuann2,"Clsub ",,,怎麼樣,"<Goa2 khoaN3, i boe7 hiau2, Li2 siuN7, an3-choaN2: I don't think he can. What do you think?>",
380,àn-chhat-si,an3-chhat-si,àn-tshat-si,an3-tshat-si,"N ",ê,,按察使,provincial judge (arch),
381,àn-chhiú,an3-chhiu2,àn-tshiú,an3-tshiu2,VO Xtn,,,按手,"lay hands on, ordain",
382,àn-hā,an3-ha7,àn-hā,an3-ha7,"V ",,,擺下,set aside (for later consideration),
383,àn-kiāⁿ,an3-kiann7,àn-kiānn,an3-kiann7,N hang7,,,案件,law case,
384,àn-li̍p,an3-lip8,àn-li̍p,an3-lip8,"V ",,,任命(聖職),ordain,
385,àn-mô͘,an3-moo5,àn-môo,an3-moo5,"V ",,,按摩,massage,
386,àn-mô͘-su,an3-moo5-su,àn-môo-su,an3-moo5-su,"N ",ê,,按摩師,"masseur, masseuse",
387,àn-mô͘-su̍t,an3-moo5-sut8,àn-môo-su̍t,an3-moo5-sut8,"N ",,,按摩術,massage,
388,àn-nāi,an3-nai7,àn-nāi,an3-nai7,"V ",,,招待,"guide, accompany, entertain (a guest)",
389,àn-sǹg,an3-sng3,àn-sǹg,an3-sng3,"V ",,,打算,"calculate, reckon; plan, purpose",
390,ân,an5,ân,an5,"SV ",,"ân-ân, ân-ân-ân, ân-tok-tok, ân-tòng-tòng",緊,"firm, fixed, tight",
391,ân-tan,an5-tan,ân-tan,an5-tan,"SV ",,,週轉不靈,hard up for cash,
392,ān,an7,ān,an7,"V ",,,限,promise (to meet obligations by a certain date),
393,ān-kî,an7-ki5,ān-kî,an7-ki5,"VO ",,,限期,set a deadline date,
394,ān-kî,an7-ki5,ān-kî,an7-ki5,"N ",,,限期,"limiting date, deadline",
395,"Ang, ang","Ang, ang","Ang, ang","Ang, ang"," ",,,,,
396,ang,ang,ang,ang,"N ",ê,,丈夫,husband,
397,ang-á,ang-a2,ang-á,ang-a2,"N ",sian,,娃娃，玩具,"a doll, toy, figure",
398,ang-á,ang-a2,ang-á,ang-a2,"N ",tiuⁿ,,圖畫,picture,
399,ang-á-bó͘,ang-a2-boo2,ang-á-bóo,ang-a2-boo2,"N ",,,夫妻,husband and wife,
400,ang-á-chheh,ang-a2-chheh,ang-á-tsheh,ang-a2-tsheh,"N ",pún,,圖畫書,"picture book, picture story book",
401,ang-á-mi̍h,ang-a2-mih8,ang-á-mi̍h,ang-a2-mih8,"N ",,,玩具,toys,
402,ang-á-tô͘,ang-a2-too5,ang-á-tôo,ang-a2-too5,"N ","pak, kńg",,圖畫,large picture used for illustrative purposes,
403,ang-á-thâu,ang-a2-thau5,ang-á-thâu,ang-a2-thau5,"N ",tiuⁿ,,郵票,postage stamp,
404,ang-á-thâu,ang-a2-thau5,ang-á-thâu,ang-a2-thau5,"N ",ê,,少女的臉,(girl's) face,
405,ang-á-thâu,ang-a2-thau5,ang-á-thâu,ang-a2-thau5,"N ",ê,,木偶的臉,head of puppet,
406,ang-bó͘,ang-boo2,ang-bóo,ang-boo2,"N ",,,夫婦,husband and wife,
407,ang-sài,ang-sai3,ang-sài,ang-sai3,"N ",ê,,丈夫,husband,
408,áng-láng,ang2-lang2,áng-láng,ang2-lang2,"SV ",,,乖戾,"obstinate, ill-tempered, grumpy",
409,àng,ang3,àng,ang3,"N ","ê, lia̍p",,甕,jar,
410,àng,ang3,àng,ang3,"SV ",,"àng-àng, àng-àng-àng",聽不清,"plugged (ears, i. e. eustachian tube), stuffy (nose) ",
411,àng,ang3,àng,ang3,"SV ",,"àng-àng, àng-àng-àng",聽不清,unclear (sound),
412,àng-chhài,ang3-chhai3,àng-tshài,ang3-tshai3,N Bot,châng,,甕菜,"a green vegetable of the morning-glory family, Ipomoea reptans",
413,âng,ang5,âng,ang5,"SV ",,"âng-âng, âng-âng-âng, âng-chu-chu, âng-kì-kì, âng-kòng-kòng, âng-phà-phà",紅,"red, rosy, blushing",
414,âng-bah-chhêng,ang5-bah-chheng5,âng-bah-tshîng,ang5-bah-tshing5,"N ",châng,,雀榕,"large-leaved banyan, Ficus wrightiana",
415,âng-bah-kî-hî,ang5-bah-ki5-hi5,âng-bah-kî-hî,ang5-bah-ki5-hi5,N Ich,bé,,紅肉旗魚,either of two spear-fish of the genus Kajikia,
416,âng-bah-siang-kè,ang5-bah-siang-ke3,âng-bah-siang-kè,ang5-bah-siang-ke3,"N ",bé,,丫髻鮫,"hammerhead shark, Sphyrna oewini",
417,âng-bah-teng-pán,ang5-bah-teng-pan2,âng-bah-ting-pán,ang5-bah-ting-pan2,"N ",bé,,紅肉旗魚,"barred marlin, marlin spike fish, spear-fish, Kajikia mitsukurii",
418,âng-bah-tō͘,ang5-bah-too7,âng-bah-tōo,ang5-bah-too7,"N ",châng,,菱果石樺,"Luanta tanoak, Pasania randarandiensis",
419,âng-bah-tō͘,ang5-bah-too7,âng-bah-tōo,ang5-bah-too7,"N ",châng,,菱果石樺,"Three-cupule oak, Alishan tanoak, Pasania ternaticupula",
420,âng-ba̍k-khong,ang5-bak8-khong,âng-ba̍k-khong,ang5-bak8-khong,"N ",bé,,曳絲大眼鯛,"big-eye snapper, Priacanthus tayenus",
421,âng-ba̍k-liân,ang5-bak8-lian5,âng-ba̍k-liân,ang5-bak8-lian5,"N ",bé,,"大眼鯛           ","a kind of big-eyed fish, Priacanthus macracanthus",
422,âng-ba̍k-liân,ang5-bak8-lian5,âng-ba̍k-liân,ang5-bak8-lian5,"N ",bé,,"曵絲大眼鯛 ","big-eye snapper, Priacanthus tayenus",
423,âng-ba̍k-liân,ang5-bak8-lian5,âng-ba̍k-liân,ang5-bak8-lian5,"N ",bé,,紅目大眼鯛,Priacanthus boops,
424,âng-ba̍k-lô͘,ang5-bak8-loo5,âng-ba̍k-lôo,ang5-bak8-loo5,N Ich,bé,,紅眼鱸,"either of two sea-bass, Lates calcariger or Psammoperca waigiensis",
425,âng-ba̍k-tāi,ang5-bak8-tai7,âng-ba̍k-tāi,ang5-bak8-tai7,N Ich,bé,,紅眼魚代,"carp, Puntus semifasciolata or Puntus snyderi",
426,âng-bé-á-chháu,ang5-be2-a2-chhau2,âng-bé-á-tsháu,ang5-be2-a2-tshau2,"N ",châng,,紅尾草,Euphorbia thymifolia,
427,âng-bé-chiáu,ang5-be2-chiau2,âng-bé-tsiáu,ang5-be2-tsiau2,"N ",chiah,,朱連雀,"Japanese waxwing, Bombycilla jsponica",
428,âng-bé-ia̍h-hoe,ang5-be2-iah8-hoe,âng-bé-ia̍h-hue,ang5-be2-iah8-hue,"N ",châng,,紅尾蝶花,"red iris, Belamcanda chinensis",
429,âng-bé-kán,ang5-be2-kan2,âng-bé-kán,ang5-be2-kan2,N Orn,chiah,,紅尾鶇,"red-tailed thrush, Turdus naumanni naumanni",
430,âng-bé-koàn,ang5-be2-koan3,âng-bé-kuàn,ang5-be2-kuan3,"N ",chiah,,紅尾熱帶島,"Laysan red-tailed tropic bird, Phaëthon rubricaudus rothschildi",
431,âng-bé-ló,ang5-be2-lo2,âng-bé-ló,ang5-be2-lo2,"N ",tè,,紅瑪瑙,red carnelian,
432,âng-bé-ong,ang5-be2-ong,âng-bé-ong,ang5-be2-ong,N Orn,chiah,,紅尾鶲,"Ferruginous flycatcher, Muscicapa rufilata",
433,âng-bé-pek-lô,ang5-be2-pek-lo5,âng-bé-pik-lô,ang5-be2-pik-lo5,N Orn,chiah,,紅尾伯勞,"Philippine red-tailed shrike, Lanius cristatus lucionensis",
434,âng-bé-tang,ang5-be2-tang,âng-bé-tang,ang5-be2-tang,N Ich,bè,,赤尾冬,"any of several fish of the grunt family, genus Scolopsis",
435,âng-bīn-mô-chiong-kun,ang5-bin7-mo5-chiong-kun,âng-bīn-mô-tsiong-kun,ang5-bin7-mo5-tsiong-kun,"N ",châng,,銳葉紫珠,"Taiwan beauty-berry, narrow-leaved beauty-berry, Callicarpa pilosissima",
436,âng-bô-á,ang5-bo5-a2,âng-bô-á,ang5-bo5-a2,"N ",ê,,"紅帽子,行李夫","red-cap, porter",
437,âng-bû,ang5-bu5,âng-bû,ang5-bu5,N Orn,chiah,,赤巫鳥,"grey-headed bunting grunt, Emeriza fucata fucata",
438,âng-chau,ang5-chau,âng-tsau,ang5-tsau,"N ",bé,,松鯛,"black perch, black grunt, Lobotes surinamensis",
439,âng-chau,ang5-chau,âng-tsau,ang5-tsau,"N ",bé,,銀紋笛綢,"gray snapper, Lutjanus argentimaculatus",
440,âng-chéng,ang5-cheng2,âng-tsíng,ang5-tsing2,"SV ",,,紅腫,swollen and inflamed,
441,âng-chéng,ang5-cheng2,âng-tsíng,ang5-tsing2,"N ",,,紅腫,swelling and inflamation,
442,âng-chi-á,ang5-chi-a2,âng-tsi-á,ang5-tsi-a2,"N ",châng,,紅子珠,"officinal breynia, Breynia officinalis",
443,âng-chí-á,ang5-chi2-a2,âng-tsí-á,ang5-tsi2-a2,"N ",châng,,紅子仔,"Formosan viburnum, Viburnum luzonicum",
444,âng-chí-á-chhài,ang5-chi2-a2-chhai3,âng-tsí-á-tshài,ang5-tsi2-a2-tshai3,"N ",châng,,紅子仔菜,Solanum biflorum,
445,âng-chîm,ang5-chim5,âng-tsîm,ang5-tsim5,N Ich,chiah,,蟳,"serrated crab (female), Scylla serrata",
446,âng-chio,ang5-chio,âng-tsio,ang5-tsio,"N ","lo̍h, pî,  nge̍h",,紅蕉,"red banana, Musa cocinea",
447,âng-chó,ang5-cho2,âng-tsó,ang5-tso2,"N ","chang, lia̍p",,紅棗,"red jujube, Zizyphus vulgaris var, inermis",
448,âng-chô-hî,ang5-cho5-hi5,âng-tsô-hî,ang5-tso5-hi5,N Ich,bé,,紅魚曹魚,"surmullet, Pseudupeneus chrysopleuron",
449,âng-chong,ang5-chong,âng-tsong,ang5-tsong,N Ich,bé,,赤鯮,"red seabream, Dentex tumifrons",
450,âng-chu,ang5-chu,âng-tsu,ang5-tsu,"N ",,,"朱紅色           ","red complexion, healthy color",
451,âng-chu,ang5-chu,âng-tsu,ang5-tsu,"N ",,,紅墨的原料,material used to make a Chinese stamp pad,
452,âng-chu(-á),ang5-chu(-a2),âng-tsu(-á),ang5-tsu(-a2),"N ",châng,,紅仔珠,"officinal breynia, Breynia officinalis",
453,âng-chu-bo̍k,ang5-chu-bok8,âng-tsu-bo̍k,ang5-tsu-bok8,"N ",châng,,雞母珠,"jequirity bean, jequirity rosary pea, rosary  pea,  Abrus precatorius (poisonous)",
454,âng-chún,ang5-chun2,âng-tsún,ang5-tsun2,"N ",chiah,,紅隼,"dark kestral, Japanese kestral, Falco tinnuculus interstinctus",
455,âng-chún,ang5-chun2,âng-tsún,ang5-tsun2,"N ",chiah,,紅隼,"common kestral, European kestral, Falco tinnuculus tinnuculus",
456,âng-chhâ,ang5-chha5,âng-tshâ,ang5-tsha5,"N ",châng,,"台灣樹蘭      ","Formosan aglaia, Formosan orchid tree, Aglaia formosana",
457,âng-chhâ,ang5-chha5,âng-tshâ,ang5-tsha5,"N ",châng,,後皮香,Terstroemia gymnanthera,
458,âng-chhâ,ang5-chha5,âng-tshâ,ang5-tsha5,"N ",châng,,紅柴,"Luzon wendlandia, Wendlandia luzonensis",
459,âng-chhài,ang5-chhai3,âng-tshài,ang5-tshai3,"N ","chang, tiâu",,"茄子               ","egg plant, Solanum melongena",
460,âng-chhài,ang5-chhai3,âng-tshài,ang5-tshai3,"N ",chang,,紅菜,Gynura bicolor,
461,âng-chhài-tāu,ang5-chhai3-tau7,âng-tshài-tāu,ang5-tshai3-tau7,"N ",châng,,枝針葉豆工豆,"red string bean, Vigna vexillata",
462,âng-chhài-thâu,ang5-chhai3-thau5,âng-tshài-thâu,ang5-tshai3-thau5,"N ",tiâu,,胡蘿蔔,"carrot, Daucus carota var. sativa",
463,âng-chhài-thâu-á,ang5-chhai3-thau5-a2,âng-tshài-thâu-á,ang5-tshai3-thau5-a2,"N ",lia̍p,,紅蘿蔔,"radish, Raphanus sativus",
464,âng-chhân-o (-chháu),ang5-chhan5-o (-chhau2),âng-tshân-o (-tsháu),ang5-tshan5-o (-tshau2),"N ",châng,,"連子草           ",Alternanthera sersilis,
465,âng-chhân-o (-chháu),ang5-chhan5-o (-chhau2),âng-tshân-o (-tsháu),ang5-tshan5-o (-tshau2),"N ",châng,,紅田烏草,Telanthera versicola,
466,âng-chhêng-peh,ang5-chheng5-peh,âng-tshîng-peh,ang5-tshing5-peh,"N ",châng,,華山松,"Taiwan armand pine, Pinus armandii var. masteriana",
467,âng-chhì-le̍k-khiu,ang5-chhi3-lek8-khiu,âng-tshì-li̍k-khiu,ang5-tshi3-lik8-khiu,"N ",châng,,台灣綠鳩,"Formosan green pigeon, Sphenocescus sieboldii sororius",
468,âng-chhiok-hm̂,ang5-chhiok-hm5,âng-tshiok-hm̂,ang5-tshiok-hm5,"N ",châng,,紅雀茅,"a kind of grass, Eragrostis unioloides",
469,âng-chhiu-ko,ang5-chhiu-ko,âng-tshiu-ko,ang5-tshiu-ko,"N ",bé,,"秋姑魚           ","red mullet, Upeneus bensasi",
470,âng-chhiu-ko,ang5-chhiu-ko,âng-tshiu-ko,ang5-tshiu-ko,"N ",bé,,"紫班海渄鯉 ","a kind of goat-fish, Pseudupeneus porphyreus",
471,âng-chhiu-ko,ang5-chhiu-ko,âng-tshiu-ko,ang5-tshiu-ko,"N ",bé,,紅鰽魚,"surmullet, Pseudupeneus chrysopleuron",
