"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HanLoTaibunPoj","PageNumber"
"877","N̂g-kun","Ng5-kun","N̂g-kun","Ng5-kun","黃根","251"
"878","Kim-kam","Kim-kam","Kim-kam","Kim-kam","金柑","251"
"879","Kim-kam","Kim-kam","Kim-kam","Kim-kam","金柑","251"
"880","Chio̍h-lêng-kū","Chioh8-leng5-ku7","Tsio̍h-lîng-kū","Tsioh8-ling5-ku7","石柃舅","251"
"881","Chhit-lí-hiong","Chhit-li2-hiong","Tshit-lí-hiong","Tshit-li2-hiong","七星香","252"
"882","Chio̍h-lêng","Chioh8-leng5","Tsio̍h-lîng","Tsioh8-ling5","石柃","252"
"883","Sip-lí-hiong","Sip-li2-hiong","Sip-lí-hiong","Sip-li2-hiong","十里香","252"
"884","Chhàu-phû-iông","Chhau3-phu5-iong5","Tshàu-phû-iông","Tshau3-phu5-iong5","臭芙蓉","252"
"885","Sòe-hio̍h-n̂g-bah-chhì","Soe3-hioh8-ng5-bah-chhi3","Suè-hio̍h-n̂g-bah-tshì","Sue3-hioh8-ng5-bah-tshi3","細葉黃肉刺","252"
"886","Kaⁿ-ná","Kann-na2","Kann-ná","Kann-na2","橄欖","254"
"887","Kiuⁿ-á-lān-hu̍t","Kiunn-a2-lan7-hut8","Kiunn-á-lān-hu̍t","Kiunn-a2-lan7-hut8","？仔？核","254"
"888","Chhiū-lân","Chhiu7-lan5","Tshiū-lân","Tshiu7-lan5","樹蘭","254"
"889","Chhiu-lân","Chhiu-lan5","Tshiu-lân","Tshiu-lan5","秋蘭","254"
"890","Âng-chhâ","Ang5-chha5","Âng-tshâ","Ang5-tsha5","紅柴","254"
"891","Tōa-âng-thun-chhiū","Toa7-ang5-thun-chhiu7","Tuā-âng-thun-tshiū","Tua7-ang5-thun-tshiu7","大紅椿樹","254"
"892","Khó͘-lēng","Khoo2-leng7","Khóo-līng","Khoo2-ling7","苦楝","255"
"893","Tah-bah-chhì","Tah-bah-chhi3","Tah-bah-tshì","Tah-bah-tshi3","搭肉刺","255"
"894","Oán-chì","Oan2-chi3","Uán-tsì","Uan2-tsi3","遠志","256"
"895","Chhit-chhùn-kim","Chhit-chhun3-kim","Tshit-tshùn-kim","Tshit-tshun3-kim","七寸金","256"
"896","Jōe-á-chháu","Joe7-a2-chhau2","Juē-á-tsháu","Jue7-a2-tshau2","蚋仔草","256"
"897","Thih-tiò-koaⁿ","Thih-tio3-koann","Thih-tiò-kuann","Thih-tio3-kuann","鐵釣竿","256"
"898","Kim-sia̍h-liû","Kim-siah8-liu5","Kim-sia̍h-liû","Kim-siah8-liu5","金石榴","256"
"899","Tê-si-hông","Te5-si-hong5","Tê-si-hông","Te5-si-hong5","茶絲黃","256"
"900","Chhân-gō-á-chháu","Chhan5-go7-a2-chhau2","Tshân-gō-á-tsháu","Tshan5-go7-a2-tshau2","田臥仔草","256"
"901","Tông-chi-chhiū","Tong5-chi-chhiu7","Tông-tsi-tshiū","Tong5-tsi-tshiu7","桐子樹","257"
"902","Iû-tông","Iu5-tong5","Iû-tông","Iu5-tong5","油桐","257"
"903","Tông-chí-chhiū","Tong5-chi2-chhiu7","Tông-tsí-tshiū","Tong5-tsi2-tshiu7","桐子樹","257"
"904","Iû-tông","Iu5-tong5","Iû-tông","Iu5-tong5","油桐","257"
"905","Kńg-tang-iû-tông","Kng2-tang-iu5-tong5","Kńg-tang-iû-tông","Kng2-tang-iu5-tong5","廣東油桐","257"
"906","Ko͘-lí-tin","Koo-li2-tin","Koo-lí-tin","Koo-li2-tin","枯里珍","258"
"907","Ko͘-lí-tin","Koo-li2-tin","Koo-lí-tin","Koo-li2-tin","枯里珍","258"
"908","Ka-tang","Ka-tang","Ka-tang","Ka-tang","茄苳","258"
"909","Âng-sim-á","Ang5-sim-a2","Âng-sim-á","Ang5-sim-a2","紅心仔","258"
"910","Âng-chu","Ang5-chu","Âng-tsu","Ang5-tsu","紅珠","258"
"911","Chhit-ji̍t-n̄g","Chhit-jit8-ng7","Tshit-ji̍t-n̄g","Tshit-jit8-ng7","七日暈","258"
"912","Âng-chu-á","Ang5-chu-a2","Âng-tsu-á","Ang5-tsu-a2","紅珠仔","258"
"913","Âng-chu-á-thâu","Ang5-chu-a2-thau5","Âng-tsu-á-thâu","Ang5-tsu-a2-thau5","紅珠仔頭","258"
"914","Âng-ì-á","Ang5-i3-a2","Âng-ì-á","Ang5-i3-a2","紅薏仔","258"
"915","Pe̍h-á","Peh8-a2","Pe̍h-á","Peh8-a2","白仔","258"
"916","Tō͘-bi̍t-chhiū","Too7-bit8-chhiu7","Tōo-bi̍t-tshiū","Too7-bit8-tshiu7","杜蜜樹","258"
"917","Chhì-tō͘-bi̍t","Chhi3-too7-bit8","Tshì-tōo-bi̍t","Tshi3-too7-bit8","刺杜蜜","259"
"918","Chhì-lâm","Chhi3-lam5","Tshì-lâm","Tshi3-lam5","刺楠","259"
"919","Khī-kô͘","Khi7-koo5","Khī-kôo","Khi7-koo5","柿糊","259"
"920","Pe̍h-hio̍h-ē","Peh8-hioh8-e7","Pe̍h-hio̍h-ē","Peh8-hioh8-e7","白葉下","259"
"921","Hio̍h-ē-pe̍h","Hioh8-e7-peh8","Hio̍h-ē-pe̍h","Hioh8-e7-peh8","葉下白","259"
"922","Pa-tau","Pa-tau","Pa-tau","Pa-tau","巴豆","259"
"923","Kóng-á","Kong2-a2","Kóng-á","Kong2-a2","廣仔","259"
"924","Béng-chhiū","Beng2-chhiu7","Bíng-tshiū","Bing2-tshiu7","猛樹","259"
"925","Kòng-á","Kong3-a2","Kòng-á","Kong3-a2","貢仔","259"
"926","Hó͘-phê-lâm","Hoo2-phe5-lam5","Hóo-phê-lâm","Hoo2-phe5-lam5","虎皮楠","259"
"927","Thih-sek-chhiū","Thih-sek-chhiu7","Thih-sik-tshiū","Thih-sik-tshiu7","鐵色樹","260"
"928","Tāi-kah-chháu","Tai7-kah-chhau2","Tāi-kah-tsháu","Tai7-kah-tshau2","大甲草","260"
"929","Pat-kòa-chháu","Pat-koa3-chhau2","Pat-kuà-tsháu","Pat-kua3-tshau2","八卦草","260"
"930","Lin-á-chháu","Lin-a2-chhau2","Lin-á-tsháu","Lin-a2-tshau2","乳仔草","260"
"931","Tōa-pún-lin-á-chháu","Toa7-pun2-lin-a2-chhau2","Tuā-pún-lin-á-tsháu","Tua7-pun2-lin-a2-tshau2","大本乳仔草","260"
"932","Âng-kut-tōa-pún-lin-á-chháu","Ang5-kut-toa7-pun2-lin-a2-chhau2","Âng-kut-tuā-pún-lin-á-tsháu","Ang5-kut-tua7-pun2-lin-a2-tshau2","紅骨大本乳仔草","260"
"933","Hé-hāng","He2-hang7","Hé-hāng","He2-hang7","火？","261"
"934","Kim-sia̍h-liû","Kim-siah8-liu5","Kim-sia̍h-liû","Kim-siah8-liu5","金石榴","261"
