"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"khì-gia̍p-ka","khi3-giap8-ka","khì-gia̍p-ka","khi3-giap8-ka","240"
"sūn-sū","sun7-su7","sūn-sū","sun7-su7","241"
"gē-su̍t-phín","ge7-sut8-phin2","gē-su̍t-phín","ge7-sut8-phin2","242"
"kong-bū-oân","kong-bu7-oan5","kong-bū-uân","kong-bu7-uan5","243"
"seng-bu̍t to-iūⁿ-sèng","seng-but8 to-iunn7-seng3","sing-bu̍t to-iūnn-sìng","sing-but8 to-iunn7-sing3","244"
"nî-siù","ni5-siu3","nî-siù","ni5-siu3","245"
"chio̍h-hó͘","chioh8-hoo2","tsio̍h-hóo","tsioh8-hoo2","246"
"hiòng-chiân kiâⁿ","hiong3-chian5 kiann5","hiòng-tsiân kiânn","hiong3-tsian5 kiann5","247"
"chian-pau","chian-pau","tsian-pau","tsian-pau","248"
"chek-sî-thong","chek-si5-thong","tsik-sî-thong","tsik-si5-thong","249"
"sū-gia̍p-sòaⁿ","su7-giap8-soann3","sū-gia̍p-suànn","su7-giap8-suann3","250"
