"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"khiā bē-tiâu","khia7 be7-tiau5","khiā bē-tiâu","khia7 be7-tiau5","205"
"pa̍k bē-tiâu","pak8 be7-tiau5","pa̍k bē-tiâu","pak8 be7-tiau5","206"
"khùn bē-tiâu","khun3 be7-tiau5","khùn bē-tiâu","khun3 be7-tiau5","207"
"chia̍h bē-tiâu","chiah8 be7-tiau5","tsia̍h bē-tiâu","tsiah8 be7-tiau5","208"
"bê","be5","bê","be5","209"
"be̍h-á","beh8-a2","be̍h-á","beh8-a2","210"
"be̍h-á-chiú","beh8-a2-chiu2","be̍h-á-tsiú","beh8-a2-tsiu2","211"
"hoan-be̍h","hoan-beh8","huan-be̍h","huan-beh8","212"
"beh","beh","beh","beh","213"
"boeh","boeh","bueh","bueh","213"
"be̍h-á","beh8-a2","be̍h-á","beh8-a2","214"
"boe̍h-á","boeh8-a2","bue̍h-á","bueh8-a2","214"
"chi̍t siang boe̍h-á","chit8 siang boeh8-a2","tsi̍t siang bue̍h-á","tsit8 siang bueh8-a2","215"
"be̍k-léng-siâⁿ","bek8-leng2-siann5","bi̍k-líng-siânn","bik8-ling2-siann5","216"
"be̍k-sióng","bek8-siong2","bi̍k-sióng","bik8-siong2","217"
"be̍k-sī","bek8-si7","bi̍k-sī","bik8-si7","218"
"be̍k-sī lo̍k","bek8-si7 lok8","bi̍k-sī lo̍k","bik8-si7 lok8","219"
"bêng-pe̍k","beng5-pek8","bîng-pi̍k","bing5-pik8","220"
"bêng-bêng","beng5-beng5","bîng-bîng","bing5-bing5","221"
"bêng-sìn phiàn","beng5-sin3 phian3","bîng-sìn phiàn","bing5-sin3 phian3","222"
"bēng","beng7","bīng","bing7","223"
"kài-bēng","kai3-beng7","kài-bīng","kai3-bing7","224"
"bēng-lēng","beng7-leng7","bīng-līng","bing7-ling7","225"
"béng","beng2","bíng","bing2","226"
"béng-siù","beng2-siu3","bíng-siù","bing2-siu3","227"
"bí-kok","bi2-kok","bí-kok","bi2-kok","228"
"bí-kok lâng","bi2-kok lang5","bí-kok lâng","bi2-kok lang5","229"
"bí-su̍t","bi2-sut8","bí-su̍t","bi2-sut8","230"
"bí-su̍t-ka","bi2-sut8-ka","bí-su̍t-ka","bi2-sut8-ka","231"
"bí-iông-īⁿ","bi2-iong5-inn7","bí-iông-īnn","bi2-iong5-inn7","232"
"bī","bi7","bī","bi7","233"
"bí","bi2","bí","bi2","234"
"chu̍t-bí","chut8-bi2","tsu̍t-bí","tsut8-bi2","235"
"chāi-lâi bí","chai7-lai5 bi2","tsāi-lâi bí","tsai7-lai5 bi2","236"
"pún-tó bí","pun2-to2 bi2","pún-tó bí","pun2-to2 bi2","236"
"hōng-lâi-bí","hong7-lai5-bi2","hōng-lâi-bí","hong7-lai5-bi2","237"
"bí-lē","bi2-le7","bí-lē","bi2-le7","238"
"bí-jîn","bi2-jin5","bí-jîn","bi2-jin5","239"
"bí-móa","bi2-moa2","bí-muá","bi2-mua2","240"
"bí-boán","bi2-boan2","bí-buán","bi2-buan2","240"
"bián","bian2","bián","bian2","241"
"m̄ bián","m7 bian2","m̄ bián","m7 bian2","241"
"bián khì","bian2 khi3","bián khì","bian2 khi3","242"
"m̄ bián khì","m7 bian2 khi3","m̄ bián khì","m7 bian2 khi3","242"
"m̄ bián kiaⁿ","m7 bian2 kiann","m̄ bián kiann","m7 bian2 kiann","243"
"bián-lē","bian2-le7","bián-lē","bian2-le7","244"
"bián-chit","bian2-chit","bián-tsit","bian2-tsit","245"
"biān-chú","bian7-chu2","biān-tsú","bian7-tsu2","246"
"biān-bo̍k","bian7-bok8","biān-bo̍k","bian7-bok8","246"
"thé-biān","the2-bian7","thé-biān","the2-bian7","247"
"thé-bīn","the2-bin7","thé-bīn","the2-bin7","247"
"sit thé-biān","sit the2-bian7","sit thé-biān","sit the2-bian7","248"
"bô thé-biān","bo5 the2-bian7","bô thé-biān","bo5 the2-bian7","249"
"ū thé-biān","u7 the2-bian7","ū thé-biān","u7 the2-bian7","250"
"kò͘ thé-biān","koo3 the2-bian7","kòo thé-biān","koo3 the2-bian7","251"
"bia̍t","biat8","bia̍t","biat8","252"
"bia̍t-bông","biat8-bong5","bia̍t-bông","biat8-bong5","253"
"bih","bih","bih","bih","254"
"bih sio chhōe","bih sio chhoe7","bih sio tshuē","bih sio tshue7","255"
"bīn","bin7","bīn","bin7","256"
"gōa-bīn","goa7-bin7","guā-bīn","gua7-bin7","257"
"lāi-bīn","lai7-bin7","lāi-bīn","lai7-bin7","258"
"téng-bīn","teng2-bin7","tíng-bīn","ting2-bin7","259"
"ē-bīn","e7-bin7","ē-bīn","e7-bin7","260"
"bīn-sek","bin7-sek","bīn-sik","bin7-sik","261"
"bîn-ná-chài","bin5-na2-chai3","bîn-ná-tsài","bin5-na2-tsai3","262"
"bîn-ná-ji̍t","bin5-na2-jit8","bîn-ná-ji̍t","bin5-na2-jit8","263"
"bîn-ná chái-khí","bin5-na2 chai2-khi2","bîn-ná tsái-khí","bin5-na2 tsai2-khi2","264"
"bîn-ná tiong-tàu","bin5-na2 tiong-tau3","bîn-ná tiong-tàu","bin5-na2 tiong-tau3","265"
"bîn-ná ē-tàu","bin5-na2 e7-tau3","bîn-ná ē-tàu","bin5-na2 e7-tau3","266"
"bîn-ná ē-po͘","bin5-na2 e7-poo","bîn-ná ē-poo","bin5-na2 e7-poo","267"
"bîn-ná àm","bin5-na2 am3","bîn-ná àm","bin5-na2 am3","268"
"bîn-chhn̂g","bin5-chhng5","bîn-tshn̂g","bin5-tshng5","269"
"bîn-bāng","bin5-bang7","bîn-bāng","bin5-bang7","270"
"bín","bin2","bín","bin2","271"
"bín-á","bin2-a2","bín-á","bin2-a2","272"
"khí-bín","khi2-bin2","khí-bín","khi2-bin2","273"
"khí-bín-á","khi2-bin2-a2","khí-bín-á","khi2-bin2-a2","273"
"bîn-bîn","bin5-bin5","bîn-bîn","bin5-bin5","274"
"bīn-kin","bin7-kin","bīn-kin","bin7-kin","275"
"bīn-pò͘","bin7-poo3","bīn-pòo","bin7-poo3","275"
"bīn-tháng","bin7-thang2","bīn-tháng","bin7-thang2","276"
"bīn-chú","bin7-chu2","bīn-tsú","bin7-tsu2","277"
"biān-chú","bian7-chu2","biān-tsú","bian7-tsu2","277"
"bîn-bōng","bin5-bong7","bîn-bōng","bin5-bong7","278"
"bîn-ì","bin5-i3","bîn-ì","bin5-i3","279"
"bîn-soán","bin5-soan2","bîn-suán","bin5-suan2","280"
"bîn-chú tek","bin5-chu2 tek","bîn-tsú tik","bin5-tsu2 tik","281"
"bîn-chú kok","bin5-chu2 kok","bîn-tsú kok","bin5-tsu2 kok","282"
"bîn-chú tóng","bin5-chu2 tong2","bîn-tsú tóng","bin5-tsu2 tong2","283"
"bîn-chú chú-gī","bin5-chu2 chu2-gi7","bîn-tsú tsú-gī","bin5-tsu2 tsu2-gi7","284"
