poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,main_id
thiau-tî,thiau-ti5,thiau-tî,thiau-ti5,123
tiau-kò͘-ì,tiau-koo3-i3,tiau-kòo-ì,tiau-koo3-i3,124
thiau-kò͘-ì,thiau-koo3-i3,thiau-kòo-ì,thiau-koo3-i3,124
to-pèⁿ,to-penn3,to-pènn,to-penn3,125
to-pìⁿ,to-pinn3,to-pìnn,to-pinn3,125
pat-tin,pat-tin,pat-tin,pat-tin,126
lâng-bīn,lang5-bin7,lâng-bīn,lang5-bin7,127
jîn-lûn,jin5-lun5,jîn-lûn,jin5-lun5,128
lîn-lûn,lin5-lun5,lîn-lûn,lin5-lun5,128
jîn-oân,jin5-oan5,jîn-uân,jin5-uan5,129
lîn-oân,lin5-oan5,lîn-uân,lin5-uan5,129
jîn-goân,jin5-goan5,jîn-guân,jin5-guan5,129
lîn-goân,lin5-goan5,lîn-guân,lin5-guan5,129
ji̍p-chhù,jip8-chhu3,ji̍p-tshù,jip8-tshu3,130
li̍p-chhù,lip8-chhu3,li̍p-tshù,lip8-tshu3,130
Chhit-niû-má,Chhit-niu5-ma2,Tshit-niû-má,Tshit-niu5-ma2,131
Chhit-niû-má-seⁿ,Chhit-niu5-ma2-senn,Tshit-niû-má-senn,Tshit-niu5-ma2-senn,132
Chhit-niû-má-siⁿ,Chhit-niu5-ma2-sinn,Tshit-niû-má-sinn,Tshit-niu5-ma2-sinn,132
jîn-ke,jin5-ke,jîn-ke,jin5-ke,133
lîn-ke,lin5-ke,lîn-ke,lin5-ke,133
jîn-ke-chhù-á,jin5-ke-chhu3-a2,jîn-ke-tshù-á,jin5-ke-tshu3-a2,134
lîn-ke-chhù-á,lin5-ke-chhu3-a2,lîn-ke-tshù-á,lin5-ke-tshu3-a2,134
pat-ka-chiòng,pat-ka-chiong3,pat-ka-tsiòng,pat-ka-tsiong3,135
jîn-keh,jin5-keh,jîn-keh,jin5-keh,136
lîn-keh,lin5-keh,lîn-keh,lin5-keh,136
jîn-khì,jin5-khi3,jîn-khì,jin5-khi3,137
lîn-khì,lin5-khi3,lîn-khì,lin5-khi3,137
to-tiam,to-tiam,to-tiam,to-tiam,138
jîn-má,jin5-ma2,jîn-má,jin5-ma2,139
lîn-má,lin5-ma2,lîn-má,lin5-ma2,139
ji̍p-īⁿ,jip8-inn7,ji̍p-īnn,jip8-inn7,140
li̍p-īⁿ,lip8-inn7,li̍p-īnn,lip8-inn7,140
jîn-sim,jin5-sim,jîn-sim,jin5-sim,141
lîn-sim,lin5-sim,lîn-sim,lin5-sim,141
jîn-som,jin5-som,jîn-som,jin5-som,141
lîn-som,lin5-som,lîn-som,lin5-som,141
jîn-chêng,jin5-cheng5,jîn-tsîng,jin5-tsing5,142
lîn-chêng,lin5-cheng5,lîn-tsîng,lin5-tsing5,142
jîn-chêng-sè-sū,jin5-cheng5-se3-su7,jîn-tsîng-sè-sū,jin5-tsing5-se3-su7,143
lîn-chêng-sè-sū,lin5-cheng5-se3-su7,lîn-tsîng-sè-sū,lin5-tsing5-se3-su7,143
ji̍p-kàu,jip8-kau3,ji̍p-kàu,jip8-kau3,144
li̍p-kàu,lip8-kau3,li̍p-kàu,lip8-kau3,144
jîn-bōng,jin5-bong7,jîn-bōng,jin5-bong7,145
lîn-bōng,lin5-bong7,lîn-bōng,lin5-bong7,145
jîn-chō,jin5-cho7,jîn-tsō,jin5-tso7,146
